te,en
<h1>,
పాఠ 16:,Lesson 16:
మీకు ఏం కావాలి?,What do you want?
,
సర్వర్:,Server:
ఏమండీ!,Sir!
మీకు టిఫిన్ ఏం కావాలి?,What tiffin do you want?
,
శర్మ:,Sharma:
ముందు మంచినీళ్ళు కావాలి.,First I need water.
తర్వాత టిఫిన్.,Then only tiffin.
,
సర్వర్:,Server:
"ఇవిగో, మంచినీళ్ళు.","Look, fresh water."
ఇక్కడే ఉన్నాయి.,It was here only.
,
శర్మ:,Sharma:
ఈ నీళ్ళు చల్లగా లేవు.,This water is not cold.
,
రతిరామ్:,Rathiram:
టిఫిన్ ఏముంది?,What tiffin is available?
,
సర్వర్:,Server:
"ఇడ్లీ, పూరీ, మినపట్టూ, పెసరట్టూ మరియు ఉప్మా ఉన్నాయి.","There are idli, poori, minapattu, pesarattu and upma."
,
జనతాసింగ్:,Janatha Singh:
ఇడ్లీ వేడిగా ఉందా?,Is idlli hot?
,
సర్వర్:,Server:
లేదండీ.,No sir.
పూరీ వేడిగా ఉంది.,Poori is hot.
"మినపట్టూ, పెసరట్టూ కూడా వేడిగా ఉన్నాయి.",Minapattu and pesarattu are also hot.
,
రతిరామ్:,Rathiram:
ఏం జనతాసింగ్!,Hey Janatha Singh!
నీకు మినపట్టు కావాలా?,Do you want minapattu?
పెసరట్టు కావాలా?,Or do you want pesarattu?
,
జనతాసింగ్:,Janatha Singh:
నాకు రెండు వేడి పెసరట్లు కావాలి.,I want two hot pesarattus.
మినపట్టు వద్దు.,I don't want minapattu.
నీకేం కావాలి మృత్యుంజయ్?,What do you want Mrithyunjay?
,
మృత్యుంజయ్:,Mrithyunjay:
నాకు ఇడ్లీ కావాలి.,I want idli.
,
సర్వర్:,Server:
ఇడ్లీ చల్లగా ఉన్నదండీ.,"Idli is cold, sir."
,
మృత్యుంజయ్:,Mrithyunjay:
అయితే ఉప్మా కావాలి.,Then I want upma.
,
సర్వర్:,Server:
మీకేం కావాలి?,"What do you want, sir?"
,
రతిరామ్:,Rathiram:
నాకు పాలు కావాలి.,I want milk.
,
సర్వర్:,Server:
పాలు లేవండీ.,"Milk is not available, sir."
కాఫీ ఉంది; టీ ఉంది.,Coffee and tea are available.
బోర్నవీటా కూడా ఉన్నది.,Bournvita is also available.
వీటిలో మీకేం కావాలి.,What do you want among these?
,
రతిరామ్:,Rathiram:
నాకు ఏమీ వద్దు.,I don't want anything.
పాలే కావాలి.,I want milk.
,
సర్వర్:,Server:
పాలు లేవండీ.,"Milk is not available, sir"
,
రతిరామ్:,Rathiram:
అయితే చల్లని మంచినీళ్ళు కావాలి.,Then I need only cold water.
,
శర్మ:,Sharma:
ఈ హోటల్లో మంచినీళ్ళు చల్లగా లేవు.,The drinking water available in this hotel is not cold.
,
మృత్యుంజయ్:,Mrithyunjay:
మనం అందరం ఇక్కడే ఉన్నాం.,All of us are here.
మరి క్లాసులో ఎవరున్నారు?,Then who is there in the class?
,
రతిరామ్:,Rathiram:
ఎవరూ లేరు.,Nobody is there.
ఆ కాయితం మీద ఎర్రగా ఉంది; ఏమిటది?,Something is reddish on that paper; what is it?
,
శర్మ:,Sharma:
అది ఒక మోడర్న్ పెయింటింగ్.,It is a modern painting.
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
కావాలి,is/are wanted/required
సర్వర్,server; waiter
టిఫిన్,Breakfast or light meal (Indian English word)
ముందు,firstly; at first
మంచినీళ్ళు,drinking water
చల్లగా,water
-గా,cold (adv.)
ఇడ్లీ,an adverbial marker
పూరీ,idli
మినపట్టు,poori
పెసరట్టు,pesarattu (savory pancake made from green gram batter)
ఉప్మా,upma
వేడిగా,hot (adv.)
వేడి,hot (adj.)
ఒద్దు / వద్దు,is/are not wanted/required; no
పాలు,milk
టీ,tea
బోర్నవీటా,name of a patent health drink product 'Bournvita'
చల్లని,cold/cool (adj.)
హోటల్,a hotel
స్విమ్మింగ్ పూల్ ,swimming pool
ఎర్రగా,red (adv.)
మోడరన్ పెయింటింగ్,a modern painting
