te,en,hi
<h1>,,
పాఠం 1:,Lesson 1:,पाठ 1:
అది ఏమిటి?,What is that?,वह क्या है?
ఆయన ఎవరు?,Who is he?,वे कौन हैं?
,,
రవి:,Ravi:,रवि:
అది ఏమిటి?,What is that?,वह क्या है?
,,
గిరి:,Giri:,गिरी:
అది కుర్చీ.,That is a chair.,वह कुर्सी है।
,,
రవి:,Ravi:,रवि:
ఇది ఏమిటి?,What is this?,यह क्या है?
,,
గిరి:,Giri:,गिरी:
ఇది బల్ల.,This is a table.,यह टेबल है।
,,
రవి:,Ravi:,रवि:
ఇది గోడ.,This is a wall.,यह दीवार है।
అది వాకిలి.,That is a threshold.,वह दहलीज़ है।
,,
ఇది కాయితం.,This is a paper.,यह काग़ज़ है।
అది కలం.,That is a pen.,वह कलम है।
,,
ఇది పుస్తకం.,This is a book.,यह पुस्तक है।
అది గడియారం.,That is a clock/watch.,वह घड़ी है।
,,
ఇది కుక్క.,This is a dog.,यह कुत्ता है।
అది పిల్లి.,That is a cat.,वह बिल्ली है।
,,
గిరి:,Giri:,गिरी:
ఏది తలుపు?,Which is the door?,दरवाजा कौनसा है?
ఏది కిటికీ?,Which is the window?,खिड़की कौनसी है?
,,
రవి:,Ravi:,रवि:
ఇది తలుపు.,This is the door.,यह दरवाजा है।
అది కిటికీ.,That is the window.,वह खिड़की है।
,,
రవి:,Ravi:,रवि:
ఆయన ఎవరు?,Who is he?,वे कौन हैं?
,,
లత:,Lata:,लता:
ఆయన మాష్టరుగారు.,He is a teacher.,वे अध्यापक हैं।
,,
రవి:,Ravi:,रवि:
ఆమె ఎవరు?,Who is she?,वे कौन हैं?
,,
లత:,Lata:,लता:
ఆమె టీచరుగారు.,She is a teacher.,वे अध्यापिका हैं।
,,
రవి:,Ravi:,रवि:
ఈయన ఎవరు?,Who is he?,ये कौन हैं?
ఈమె ఎవరు?,Who is she?,ये कौन हैं?
,,
లత:,Lata:,लता:
ఈయన ప్రిన్సిపాల్గారు.,He is the Principal.,ये प्रिंसिपल हैं।
ఈమె డాక్టరుగారు.,She is the doctor.,ये डॉक्टर हैं।
,,
రవి:,Ravi:,रवि:
ఆయన రామారావుగారు.,He is Mr. Ramarao.,वे रामाराव जी हैं।
ఆమె లీలగారు.,She is Ms. Leela.,वे लीला जी हैं।
,,
లత:,Lata:,लता:
రామారావుగారు ఎవరు?,What is Mr. Ramarao?,रामाराव जी कौन हैं?
లీలగారు ఎవరు?,What is Ms. Leela?,लीला जी कौन हैं?
,,
రవి:,Ravi:,रवि:
రామారావు డాక్టరు.,Ramarao is a doctor.,रामाराव डॉक्टर हैं।
లీల టీచరు.,Leela is a teacher.,लीला अध्यापिका हैं।
,,
లత:,Lata:,लता:
ఈమె కమల.,She is Kamala.,ये कमला हैं।
ఈయన సుబ్బారావు.,He is Subbarao.,ये सुब्बाराव हैं।
,,
రవి:,Ravi:,रवि:
కమల విద్యార్థిని.,Kamala is a student.,कमला विद्यार्थी है।
సుబ్బారావు విద్యార్థి.,Subbarao is a student.,सुब्बाराव विद्यार्थी है।
,,
లత:,Lata:,लता:
ఎవరు మోహన్?,Who is Mohan?,मोहन कौन हैं?
ఎవరు విజయ?,Who is Vijaya?,विजया कौन हैं?
,,
రవి:,Ravi:,रवि:
ఆయన మోహన్.,He is Mohan.,वे मोहन हैं।
ఈమె విజయ.,She is Vijaya.,वे विजया हैं।
,,
<h2>,,
కొత్త పదాలు,New words,नए शब्द
,,
<ol>,,
అది,that (neut. pro.),वह (वस्तु)
ఏమిటి,what (pro.),क्या
కుర్చీ,chair,कुर्सी
ఇది,this (pro.),यह (वस्तु)
బల్ల,table/bench,मेज़ / टेबल
గోడ,wall,दीवार
వాకిలి,threshold,दहलीज़
కాయితం,paper,काग़ज़
కలం,pen,कलम
పుస్తకం,book,किताब / पुस्तक
గడియారం,clock/watch,घड़ी
కుక్క,dog,कुत्ता
పిల్లి,cat,बिल्ली
ఏది,which (pro.),कौनसा
తలుపు,door,दरवाज़ा
కిటికీ,window,खिड़की
ఆయన,he (rem.hon.); that gentleman,वे (पुरुष)
ఎవరు,who,कौन
మాష్టరు,a male teacher,अध्यापक
-గారు,an honorific marker ,जी
ఆమె,she (pro.),वे (महिला)
టీచరు,teacher (pro.),अध्यापक / अध्यापिका
ఈయన,he/this gentleman (prox. hon.),ये (पुरुष)
ఈమె,she/this lady or girl (prox. hon.),ये (महिला)
ప్రిన్సిపాల్,principal (pro.),प्रिंसिपल
డాక్టరు,a doctor,डॉक्टर
విద్యార్థిని,female student,विद्यार्थी (महिला)
విద్యార్థి,male student ,विद्यार्थी (पुरुष)
