te,en
<h1>,
పాఠ 10:,Lesson 10:
దసరా పండుగ,Dasara Festival
,
సుగుణ:,Suguna:
అమ్మా!,Mother!
దసరా పండగ ఎప్పుడు?,When is the Dasara festival?
,
పార్వతి:,Parvathi:
ఇప్పుడు దసరా పండగే.,This is the Dasara festival period.
దసరా పది రోజుల పండగ.,Dasara is a ten-day festival.
చివరి మూడు రోజులు ముఖ్యమైన పండగలు.,The important celebrations fall on the last three days.
,
సుగుణ:,Suguna:
ఆ పండగల పేర్లేమిటి?,What are the names of those days?
,
పార్వతి:,Parvathi:
మొదటిరోజు దుర్గాష్టమి.,The first day is 'Durgāstami'.
రెండో రోజు మహర్నవమి.,The second day is 'Mahar-navami'.
చివరి రోజు విజయ దశమి.,The last day is 'Vijayadasami'.
,
సుగుణ:,Suguna:
విజయదశమి ఎన్నో తారీకు?,What is the date of Vijayadasami?
,
పార్వతి:,Parvathi:
ఇరవయ్యో తారీకు.,20th of this month.
,
సుగుణ:,Suguna:
ఇవ్వేళ పద్ధెనిమిదో తారీకు.,Today is 18th.
రేపు పంధొమ్మిది.,Tomorrow is 19th.
ఎల్లుండి ఇరవై.,The day after tomorrow is 20th.
అయితే విజయదశమి ఎల్లుండి అన్నమాట!,Then Vijayadasami is on the day after tomorrow.
,
***,
,
విజయ:,Vijaya:
గీతా!,Gita!
ఈ పెట్టెలో చీరలు ఎవరివి?,Whose saris are these in this box?
,
గీత:,Geetha:
కొన్నినావి.,Some are mine.
,
విజయ:,Vijaya:
ఇవి కొత్త చీరలా?,Are these new saris?
,
గీత:,Geetha:
అవును.,Yes.
ఇవి పండుగ చీరలు.,They are festival saris.
ఇప్పుడు దసరా కదా!,"Now it is Dasara, isn't it?"
,
విజయ:,Vijaya:
అవును.,Yes.
ఈ చీరలు అన్నీ నీవేనా?,Are all these saris yours?
,
గీత:,Geetha:
కొన్ని నావి.,Some are mine.
,
విజయ:,Vijaya:
ఏవి నీవి?,Which are yours?
,
గీత:,Geetha:
"ఈ ఆకుపచ్చ చీర, ఈ గులాబీ రంగు చీర నావి.",This green sari and this rose sari are mine.
,
విజయ:,Vijaya:
మిగిలిన చీరలు ఎవరివి?,Whose saris are the rest?
,
గీత:,Geetha:
"ఎర్ర చీర, తెల్ల చీర మా అమ్మవి.",The red sari and the white sari are my mother's.
పసుపుపచ్చ చీర మా అక్కయ్యది.,The yellow sari is elder sister's.
మిగిలినవి మా వదినవి.,The rest are my sister-in-law's.
ఇదుగో ఈ ఫోటోలో ఆవిడ మా వదిన.,Look here; the lady in this photograph is my sister-in-law.
,
విజయ:,Vijaya:
ఈవిడేనా మీ వదిన?,Is she your sister-in-law?
ఈవిడ మీ కాలేజీలో లెక్చరర్ కదూ?,"She is a lecturer in your college, isn't she?"
,
గీత:,Geetha:
అవును.,Yes.
,
విజయ:,Vijaya:
ఈవిడ పేరు సరోజ కదూ?,"Her name is Saroja, isn't it?"
,
గీత:,Geetha:
అవును.,Yes.
,
విజయ:,Vijaya:
ఆవిడ ఇప్పుడు ఎక్కడున్నారు?,Where is she now?
,
గీత:,Geetha:
ఇక్కడే ఉంది.,She is here.
ఇవి ఆవిడ చీరలే!,These are her saris.
,
***,
,
కమల:,Kamala:
లీలా!,Leela!
ఈ కొత్త బట్టలలో ఏవి నీవి?,Which are yours in these new clothes?
,
లీల:,Leela:
ఈ తెల్లగౌను నాది.,This white gown/frock is mine.
ఈ ఎర్రది కూడా నాదే.,This red one is also mine.
,
కమల:,Kamala:
ఈ ఎర్రది నీదా?,Is this red one yours?
ఈ చొక్కా ఎవరిది?,Whose shirt is this?
,
లీల:,Leela:
ఇది మా బాబుది.,This is our Babu's.
,
కమల:,Kamala:
మీ బాబు ఎన్నో తరగతి?,Which class is your Babu in?
,
లీల:,Leela:
ఆరో తరగతి.,6th class.
,
కమల:,Kamala:
ఇవిగో ఇవి మా పండగ బట్టలు.,Here are our festival clothes.
నాది ఆకుపచ్చ గౌను.,Mine is the green gown/frock.
మా తమ్ముడిది నల్ల చొక్కా.,My brother's is the black shirt.
,
లీల:,Leela:
ఎరుపు మంచి రంగు.,The red is a good/nice colour.
ఆకుపచ్చా నలుపూ మంచి రంగులు కాదు.,The green and the black are not good/nice colours.
,
బాబు:,Babu:
తెలుపు కూడా మంచి రంగే!,The white is also a good/nice colour.
,
కమల:,Kamala:
ఆకుపచ్చ మంచి రంగు కాదా?,Is not the green a good/nice colour?
ఆకులు ఆకుపచ్చ.,The leaves are green.
,
లీల:,Leela:
పూలు ఎరుపు.,The flowers are red.
,
కమల:,Kamala:
ఆకులు అన్నీ ఆకుపచ్చ రంగే!,All the leaves are green.
పూలు అన్నీ ఎరుపు కాదు.,But all the flowers are not red.
కొన్ని ఎరుపు.,Some are red.
కొన్ని తెలుపు.,Some are white.
కొన్ని పసుపుపచ్చ.,Some are yellow.
కొన్ని గులాబీ రంగు.,Some are rose in colour.
,
లీల:,Leela:
అదుగో మా నాన్నగారు.,There my father is.
ఇవ్వేళ సెలవు.,It is holiday today.
ఇంటి దగ్గరే ఉన్నారు.,He is at home.
నాన్నగారూ!,Father!
ఆకుపచ్చ మంచి రంగా?,Is green a good / nice colour?
ఎరుపు మంచి రంగా?,Or red?
,
రామారావు:,Ramarao:
అన్నీ మంచి రంగులేనమ్మా!,"All are good/nice colours, dear!"
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
దసరా,Dasara
పండగ,festival
రోజు,day
దుర్గాష్టమి,Durgashtami festival
మహర్నవమి,Maharnavami festival
విజయదశమి,Vijayadashmi festival
ఇరవై,twenty
పంధొమ్మిది,nineteen
ఎల్లుండి,day after tomorrow
అయితే,if so
అన్న మాట,an expression of confirmation and inference (See 10.6)
చీరె/చీర,saree
ఆకుపచ్చ,green
ఈవిడ,she/this lady (prox.hon.)
కాలేజీ,college
లెక్చరర్,lecturer
కదూ?,equivalent to కదా? (see 10.5)
ఈవిడ,her (pos.) (prox.hon.)
ఆవిడ,her (pos.) (rem.-hon.)
గులాబీ,rose
రంగు,colour
మిగిలిన,remaining 
ఎర్ర,red (adj.)
తెల్ల,white (adj.)
పసుపుపచ్చ,yellow
వదిన,elder brother's wife; daugter (who is older than one's self) of mother's brother or father's sister; spouse's elder sister; a sister-in-law.
ఆవిడ,she/that lady (rem.hon.)
గౌను,gown; frock
తరగతి,class
నల్ల,black (adj.)
ఎరుపు,red (n)
నలుపు,black (n)
తెలుపు,white (n)
ఆకు,leaf
సెలవు,holiday
