te,en,hi,_te_TG
<h1>,,,<h1>
పాఠం 23:,Lesson 23:,पाठ 23:,పాఠం 23:
నేను రేడియో కొంటున్నాను,I am buying a radio,मैं रेडियो ख़रीद रहा हूँ,నేను రేడియో కొంటున్నాను
,,,
రవి:,Ravi:,रवि:,రవి:
రామారావు!,Ramarao!,रामाराव!,రామారావు!
ఇక్కడేం చేస్తున్నావు?,What are you doing here?,यहाँ क्या कर रहे हो?,ఇక్కడేం చేస్తున్నావు?
,,,
రామా:,Rama:,रामा:,రామా:
మా చెల్లెలికి రేడియో కొంటున్నాను.,I am buying a radio for my sister.,अपनी (छोटी) बहन के लिए रेडियो ख़रीद रहा हूँ।,మా చెల్లెలికి రేడియో కొంటున్నాను.
,,,
రవి:,Ravi:,रवि:,రవి:
పెద్ద బజార్లో ఇంకొక కొట్టుంది.,"In the big market, there is another shop.",बड़े बाज़ार में और एक दुकान है।,పెద్ద బజార్లో ఇంకొక కొట్టుంది.
అక్కడ కొను.,Buy there.,वहाँ ख़रीदो।,అక్కడ కొను.
ఆ కొట్లో మంచి మంచి మోడల్సు ఉన్నాయి.,In that shop there are very good models.,उस दुकान में अच्छे अच्छे मॉडल्स है।,ఆ కొట్లో మంచి మంచి మోడల్సు ఉన్నాయి.
,,,
కొట్టతను:,Shopkeeper:,दुकानदार:,కొట్టతను:
ఇవ్వాళ పెద్ద బజారు కొట్లకు సెలవు.,"Today, big bazaar shops have holiday (observe holiday).",आज बड़े बाज़ार की दुकानों की छुट्टी है।,ఇవ్వాళ పెద్ద బజారు కొట్లకు సెలవు.
మా దగ్గర కూడా ఉన్నాయండీ కొత్త మోడల్సు.,"We also have new models, sir!",हमारे पास भी हैं नए मॉडल्स।,మా దగ్గర కూడా ఉన్నాయండీ కొత్త మోడల్సు.
,,,
రవి:,Ravi:,रवि:,రవి:
ఈ పాప ఎవరు?,Who is this baby (girl child)?,यह बच्ची कौन है?,ఈ పాప ఎవరు?
మీ చెల్లెలి కూతురా?,Is she your sister's daughter?,तुम्हारी (छोटी) बहन की बेटी है क्या?,మీ చెల్లెలి కూతురా?
,,,
రామా:,Rama:,रामा:,రామా:
అవును.,Yes.,हाँ।,అవును.
,,,
రవి:,Ravi:,रवि:,రవి:
ఏం పాపా!,What child!,क्या बिटिया?,ఏం పాపా!
ఏమిటి తింటున్నావు?,What are you eating?,क्या खा रही हो?,ఏమిటి తింటున్నావు?
,,,
పాప:,Child:,बच्ची:,పాప:
చాక్లెట్టు తింటున్నాను.,I am eating chocolate.,चॉकलेट खा रही हूँ।,చాక్లెట్టు తింటున్నాను.
,,,
రామా:,Rama:,रामा:,రామా:
"ఏదీ, ఈ రేడియో పెట్టండి.",Please tune this radio (turn on this radio).,यह रेडियो चालू करो।,"ఏదీ, ఈ రేడియో పెట్టండి."
"“ఆకశవాణి, ఇప్పుడు మీరు సినిమా పాటలు వింటున్నారు.”","“Aakashavaani, now you are listening to movie songs.”","“आकाशवाणी, अभी आप फ़िल्मी गाने सुन रहे हैं।”","“ఆకశవాణి, ఇప్పుడు మీరు సినిమా పాటలు వింటున్నారు.”"
“ఊఁ అను!,“Say yes!,“हाँ कहो!,“ఊఁ అను!
ఊఁ ఊఁ అను!,Say yes yes!,हाँ हाँ कहो!,ఊఁ ఊఁ అను!
"ఔనను, ఔనౌనను.”","Say yes, say yes yes.”","हाँ कहो, हाँ हाँ कहो।”","ఔనను, ఔనౌనను.”"
,,,
గిరిజ:,Girija:,गिरिजा:,గిరిజ:
ఈ మోడలు బాగా లేదన్నయ్యా!,"This model is not good, brother!",यह मॉडल अच्छा नहीं है भैया!,ఈ మోడలు బాగా లేదన్నయ్యా!
,,,
రామా:,Rama:,रामा:,రామా:
ఈ కంపెనీదే యింకొక మోడలు ఏదీ లేదా?,Don't you have some other model of this company?,इस कंपनी का और कोई मॉडल नहीं है क्या?,ఈ కంపెనీదే యింకొక మోడలు ఏదీ లేదా?
,,,
కొట్టువాడు:,Shopkeeper:,दुकानदार:,కొట్టువాడు:
ఉందండీ!,"Yes, sir, we have it!",है जी!,ఉందండీ!
