te,en
<h1>,,
పాఠ 6:,Lesson 6:,
పోస్టాఫీసు ఎక్కడ?,Where is the Post Office?,
,,
గోపి:,Gopi:,
"రా, సుబ్బారావు!","Come on, Subbarao!",
కూర్చో.,Sit.,
,,
సుబ్బారావు:,Subbarao:,
నీ దగ్గర కన్యాశుల్కం ఉందా?,Do you have Kanyasulkam with you?,
,,
గోపి:,Gopi:,
ఉంది.,Yes I have.,
"ఆ బల్లమీద ఉంది, చూడు.","It is there on the table, look.",
,,
సుబ్బా:,Subba:,
"ఇది కన్యాశుల్కం కాదు, గోపీ!","This is not Kanyasulkam, Gopi!",
,,
గోపి:,Gopi:,
ఆ అలమరలో చూడు; గడియారం పక్కన.,See in that cupboard; next to the timepiece.,
,,
సుబ్బా:,Subba:,
ఇది కన్యాశుల్కమే.,This is Kanyasulkam.,
,,
గోపి:,Gopi:,
తీసుకో.,Take it.,
,,
సుబ్బా:,Subba:,
ఇది ఎవరి పుస్తకం?,Whose book is this?,
,,
గోపి:,Gopi:,
నా స్నేహితుడి పుస్తకం.,My friend's book.,
,,
సుబ్బా:,Subba:,
ఎవరి పుస్తకం?,Whose book?,
ప్రసాద్ పుస్తకమా?,Is it Prasad's book?,
,,
గోపి:,Gopi:,
ప్రసాద్ పుస్తకం కాదు.,Not Prasad's book.,
రవి పుస్తకం.,It is Ravi's book.,
,,
సుబ్బా:,Subba:,
అలాగా!,I see!,
వీరు ఎవరు?,Who is this gentleman?,
,,
గోపి:,Gopi:,
మా నాన్నగారు.,My father.,
,,
సుబ్బా:,Subba:,
నమస్కారమండీ!,"Namaskaram, sir!",
,,
రామయ్య:,Ramayya:,
నీ పేరేమిటి బాబూ!,"What is your name, dear!",
,,
సుబ్బా:,Subba:,
నా పేరు సుబ్బారావండీ!,"My name is Subbarao, Sir!",
మా నాన్నగారి పేరు విశ్వనాథంగారు.,My father's name is Mr Viswanatham.,
,,
రామయ్య:,Ramayya:,
అలాగా!,I see!,
మీరు ఎంతమంది అన్నదమ్ములు?,How many brothers are you?,
,,
సుబ్బా:,Subba:,
మేం ముగ్గురండీ!,"We are three, sir!",
"మా అన్నయ్యా, నేను, మా తమ్ముడూ.","My elder brother, myself and my younger brother.",
,,
రామయ్య:,Ramayya:,
మీ అన్నయ్య పేరేమిటి?,What is your elder brother's name?,
,,
సుబ్బా:,Subba:,
వెంకటేశ్వర్లు.,Venkateswarlu.,
,,
రామయ్య:,Ramayya:,
మీ తమ్ముడి పేరు?,And your younger brother's name?,
,,
సుబ్బా:,Subbarao:,
గోవిందు.,Govind.,
,,
రామయ్య:,Ramayya:,
గోపీ!,Gopi!,
పోస్టాఫీసు ఎక్కడుంది?,Where is the post office?,
,,
గోపి:,Gopi:,
బస్టాండు దగ్గరుంది నాన్నగారూ!,It is near Bus-stand father!,
,,
రామయ్య:,Ramayya:,
రెండు కవర్లు తీసుకురా.,Bring two envelopes.,
,,
సుబ్బా:,Subbarao:,
కవర్లు నా దగ్గరున్నాయి.,I have envelopes with me.,
తీసుకోండి.,Please take them.,
,,
<h2>,,
కొత్త పదాలు,New words,नए शब्द
,,
<ol>,,
పోస్టాఫీసు,post office,
అలమర,cupboard,
అన్నదమ్ములు,brothers,
తమ్ముడు,younger brother,
కవరు,envelope,
కన్యాశుల్కం,Kanyasulkam (a Telugu play written by Gurajada Apparao),
తీసుకో,take,
అన్నయ్య,elder brother,
బస్టాండు,bus stand,
తీసుకురా,bring,
