te,en
<h1>,
పాఠ 13:,Lesson 13:
నీకు ఉద్యోగం ఉందా?,Do you have a job?
,
మూర్తి:,Murthy:
రవీ!,Ravi!
వెంకటేశ్వర్లు మీ మాష్టరా?,Is Venkateswarlu your teacher?
,
రవి:,Ravi:
అవును.,Yes.
,
మూర్తి:,Murthy:
వాళ్ళది ఏ ఊరు?,What is his native place?
,
రవి:,Ravi:
ఏలూరు.,Eluru.
ఈ ఊళ్ళో కూడా ఆయనకు ఒక ఇల్లు ఉంది.,He has a house in this town also.
,
మూర్తి:,Murthy:
అతనికి ఎన్ని ఇళ్ళు ఉన్నాయి?,How many houses does he have?
,
రవి:,Ravi:
రెండు ఇళ్ళు ఉన్నాయి.,He has two houses.
ఒకటి ఇక్కడ ఉంది.,One is here.
ఒకటి ఏలూరులో ఉంది.,One is in Eluru.
,
మూర్తి:,Murthy:
అతనికి రెండు ఊళ్ళలో ఇళ్ళు ఉన్నాయా?,"So, he has houses in two places?"
అతనికి ఎంతమంది పిల్లలు?,How many children does he have?
,
రవి:,Ravi:
ఆయనకు పిల్లలు లేరు.,He has no children.
,
మూర్తి:,Murthy:
నారాయణ వెంకటేశ్వర్లు తమ్ముడు కదూ!,"Narayana is Venkateswarlu’s younger brother, isn’t he?"
అతనికి ఎంతమంది పిల్లలు?,How many children does he have?
,
రవి:,Ravi:
నలుగురు.,Four children.
,
మూర్తి:,Murthy:
పెద్ద పిల్లలా? చిన్న పిల్లలా?,Are they grown up or young?
,
రవి:,Ravi:
అందరూ పెద్ద పిల్లలే!,All of them are grown up.
,
మూర్తి:,Murthy:
ఆడపిల్లలెంతమంది?,How many of them are girls?
మగపిల్లలెంతమంది?,How many of them are boys?
,
రవి:,Ravi:
"ఇద్దరమ్మాయిలూ, ఇద్దరబ్బాయిలూ.",Two girls and two boys.
,
మూర్తి:,Murthy:
వాళ్ళకు ఎన్నేళ్ళు?,How old are they?
,
రవి:,Ravi:
పెద్దమ్మాయికి ముప్ఫైఒకటో ఏడు.,The eldest daughter is 31.
"ఆమెకు ఒక ఆడపిల్లా, ఒక మగ పిల్లవాడూ.",She has a daughter and a son.
చిన్నమ్మాయికి ఇరవై ఐదో సంవత్సరం.,The younger daughter is 25 years old.
పెద్దబ్బాయికి ఇరవై ఎనిమిదేళ్ళు.,The elder son is 28 years old.
అతనికి మంచి చదువు ఉంది.,He has good education.
కాని ఉద్యోగం లేదు.,But he does not have a job.
చిన్నబ్బాయికి ఇరవైరెండేళ్ళు.,The younger one is 22.
,
మూర్తి:,Murthy:
పెద్దమ్మాయి రచయిత్రి కదూ!,"The eldest daughter is a writer, isn’t she?"
,
రవి:,Ravi:
అవును.,Yes.
తెలుగులో పెద్ద రచయిత్రులలో ఆమె ఒకతె.,She is one of the top writers in Telugu.
ఆమె చాలా మంచిది.,She is a very good woman.
,
మూర్తి:,Murthy:
