te,en,_hi,_te_TG
<h1>,,,<h1>
పాఠం 24:,Lesson 24:,पाठ २४:,పాఠం 24:
ఉత్తరం,A Letter,पत्र,ఉత్తరం
,,,
మైసూరు,Mysuru,मईसूरू,మైసూరు
"అగస్టు 25, 1980","August 25, 1980","अगस्त 25, 1980","అగస్టు 25, 1980"
,,,
ప్రియమైన నాన్నగారికి నమస్కారం.,"Dear father,",प्रिय पिताजी को नमस्कार।,ప్రియమైన నాన్నగారికి నమస్కారం.
,,,
ఇక్కడ నేను క్షేమం.,I am doing well here.,यहाँ मैं ठीक हूँ।,ఇక్కడ నేను క్షేమం.
"అక్కడ మీరూ, అమ్మా, చిరంజీవి గిరిజా, మోహన్, క్షేమంగా ఉన్నారా?","Are you, mom, Chiranjeevi Girija, and Mohan doing well over there?","वहाँ आप, माँ, चिरंजीवी गिरिजा, और मोहन ठीक हैं क्या?","అక్కడ మీరూ, అమ్మా, చిరంజీవి గిరిజా, మోహన్, క్షేమంగా ఉన్నారా?"
మైసూరులో వాతావరణం చాలా బాగుంది.,The climate in Mysuru is very good.,मईसूरू में मौसम बहुत अच्छा है।,మైసూరులో వాతావరణం చాలా బాగుంది.
చల్లగా ఉంది.,It is cold.,ठंड है।,చల్లగా ఉంది.
ఇప్పుడు ఇక్కడ వర్షాకాలం.,It's rainy season here now.,अभी यहाँ बारिश का मौसम है।,ఇప్పుడు ఇక్కడ వర్షాకాలం.
,,,
మాకు క్లాసులు బాగా జరుగుతున్నాయి.,Our classes are on full swing.,,మాకు క్లాసులు బాగా జరుగుతున్నాయి.
కొత్త భాష కాబట్టి ఉత్సాహంగానే ఉంది.,"Since it's a new language, it is interesting only.",,కొత్త భాష కాబట్టి ఉత్సాహంగానే ఉంది.
నేనిక్కడ హాస్టల్లో ఉంటున్నాను.,I am staying in a hostel here.,,నేనిక్కడ హాస్టల్లో ఉంటున్నాను.
మా హాస్టలు ఇన్ స్టిట్యూట్  నించి సుమారు మైలు దూరంలో ఉన్నది.,Our hostel is located about a mile from our institute.,,మా హాస్టలు ఇన్ స్టిట్యూట్  నించి సుమారు మైలు దూరంలో ఉన్నది.
హాస్టల్లో మెస్సు ఉంది.,Hostel has a mess.,,హాస్టల్లో మెస్సు ఉంది.
మెస్సులో ఎక్కువగా అన్నం పెడ్తున్నారు.,Rice is served more (often in quantity) in the mess.,,మెస్సులో ఎక్కువగా అన్నం పెడ్తున్నారు.
ఇక్కడి ప్రజల ఆహారం అన్నం.,The staple food of people here is rice.,,ఇక్కడి ప్రజల ఆహారం అన్నం.
నేను గూడా మెల్లగా ఇక్కడి పరిస్థితికి అలవాటు పడుతున్నాను.,I am also slowly getting accustomed to the situation here.,,నేను గూడా మెల్లగా ఇక్కడి పరిస్థితికి అలవాటు పడుతున్నాను.
గిరిజ స్కూలుకు వెళ్తోందా?,Does Girija go to school?,,గిరిజ స్కూలుకు వెళ్తోందా?
ప్రతి ఆదివారం తమ్ముడు ఇంటికి వస్తున్నాడా?,Does my younger brother come home every sunday?,,ప్రతి ఆదివారం తమ్ముడు ఇంటికి వస్తున్నాడా?
వాడి పరీక్ష సంగతి వెంటనే రాయండి.,Please write to me about his examination situation soon.,,వాడి పరీక్ష సంగతి వెంటనే రాయండి.
వాడికి గూడా స్కూలు అడ్రసుకు ఉత్తరం రాస్తున్నాను.,I am also writing a letter to him to his school address.,,వాడికి గూడా స్కూలు అడ్రసుకు ఉత్తరం రాస్తున్నాను.
నా స్వెట్టరు నా దగ్గర లేదు.,I don't have my sweater with me.,,నా స్వెట్టరు నా దగ్గర లేదు.
బహుశ అది ఇంట్లోనే ఉండాలి.,Probably it is a home.,,బహుశ అది ఇంట్లోనే ఉండాలి.
ఇక్కడ చాలా చలిగా ఉంది.,It is very cold here.,,ఇక్కడ చాలా చలిగా ఉంది.
నాకు స్వెట్టరు కావాలి.,I need the sweater.,,నాకు స్వెట్టరు కావాలి.
వెంటనే దాన్ని పోస్టులో పంపండి.,Please send it by post immediately.,,వెంటనే దాన్ని పోస్టులో పంపండి.
అమ్మగారికి నమస్కారాలు.,Please give my regards to mother.,,అమ్మగారికి నమస్కారాలు.
పిల్లలకు ఆశీస్సులు.,Blessings to the children.,,పిల్లలకు ఆశీస్సులు.
వెంటనే ఉత్తరం రాయండి.,Please reply immediately.,,వెంటనే ఉత్తరం రాయండి.
,,,
ఇంతే సంగతులు ,That's all,,ఇంతే సంగతులు 
<br>,,,
ఇట్లు ,,,ఇట్లు 
<br>,,,
మీ కుమారుడు ,Your son,,మీ కుమారుడు 
<br>,,,
వినోద్ కుమార్.,Vinod Kumar.,,వినోద్ కుమార్.
,,,
<h2>,,,<h2>
కొత్త పదాలు,New words,नए शब्द,
,,,
<ol>,,,<ol>
ప్రియమైన,dear,,ప్రియమైన
క్షేమం,safe,,క్షేమం
చిరంజీవి,long living,,చిరంజీవి
వాతావరణం,climate,,వాతావరణం
వర్షాకాలం ,rainy season,,వర్షాకాలం 
జరుగు ,"takeplace, occur",,జరుగు 
కాబట్టి ,because,,కాబట్టి 
ఉత్సాహం ,interest,,ఉత్సాహం 
హాస్టలు ,hostel,,హాస్టలు 
ఇన్ స్టిట్యూట్ ,institute,,ఇన్ స్టిట్యూట్ 
ప్రజలు ,people,,ప్రజలు 
ఆహారం ,food,,ఆహారం 
పరిస్థితి ,"situation, circumstance",,పరిస్థితి 
అలవాటుపడు ,"accustom, habituate",,అలవాటుపడు 
సంగతి ,"matter, news",,సంగతి 
వెంటనే ,immediately,,వెంటనే 
స్వెట్టరు ,sweater,,స్వెట్టరు 
బహుశ ,perhaps,,బహుశ 
పోస్టు ,"post, mail",,పోస్టు 
పంపు ,send,,పంపు 
ఆశీస్సు ,blessing,,ఆశీస్సు 
ఇట్లు ,saying so,,ఇట్లు 
కుమారుడు ,son,,కుమారుడు 
