te,en,_hi,_te_TG
<h1>,,,<h1>
పాఠం 48:,Lesson 48:,पाठ 48:,పాఠం 48:
సుబ్బారావు అరిచాడు,Subbarao shouted,सुब्बाराव चिल्लाया,సుబ్బారావ్ అరిసాడు 
,,,
రాము:,Ramu:,रामू:,రాము:
మోహన్!,Mohan!,,మోహన్!
తొందరగా రా!,Come quickly!,,తొందర్రా.
నిన్న చేసినట్లు ఇవ్వాళ గూడా ఆలస్యం చెయ్యకు.,Dont delay today as you did yesterday.,,నిన్న జేసినట్లు ఇవ్వాళ గూడా లేట్ చెయ్యకు.
ఆలస్యం అయినకొద్దీ నాకు బస్సులు దొరకవు.,I will not get buses if there is further delay.,,ఆలస్యం అయినకొద్దీ నాకు బస్సులు దొరకవు.
,,,
మోహన్:,Mohan:,,మోహన్:
వెళ్ళిన పని పూర్తి కాకుండా ఎలా వస్తాను?,How can I come without finishing the work I went for?,,వెళ్ళిన పని పూర్తి కాకుండా ఎలా వస్తాను?
నేను వచ్చేసరికి ఎనిమిది గంటలు కావచ్చు.,It may be 8 o'clock by the time I return.,,నేను వచ్చేసరికి ఎనిమిది గంటలు కావచ్చు.
,,,
రాము:,Ramu:,,రాము:
ఆలస్యం అయితే మా నాన్నగారు అరుస్తారు.,If it gets late  my father will shout.,,ఆలస్యం అయితే మా నాన్నగారు అరుస్తారు.
నిన్న గూడా అరిచాడు.,Yesterday also he shouted.,,నిన్న గూడా అరిచాడు.
,,,
మోహన్:,Mohan:,,మోహన్:
అరిచారు అని ఈ ఊళ్లో అంటే పరవాలేదు.,It's okay to say 'aricharu' in this village/town.,,అరిచారు అని ఈ ఊళ్లో అంటే పరవాలేదు.
విశాఖపట్నం లో అంటే కొడ్తారు.,If you say that in Visakhapatnam they will beat/hit you.,,విశాఖపట్నం లో అంటే కొడ్తారు.
,,,
రాము:,Ramu:,,రాము:
ఎందుకు?,Why?,,ఎందుకు?
,,,
మోహన్:,Mohan:,,మోహన్:
అక్కడ అరుస్తున్నాడు అంటే కుక్కలాగా మొరుగుతున్నాడని అర్థం.,Overthere 'arustunnadu' means barking like a dog.,,అక్కడ అరుస్తున్నాడు అంటే కుక్కలాగా మొరుగుతున్నాడని అర్థం.
,,,
రాము:,Ramu:,,రాము:
అరవటం' అని ఇక్కడ అందరూ అంటారు గదా!,"Here, everyone uses the word 'aratavam' right!",,అరవటం' అని ఇక్కడ అందరూ అంటారు గదా!
నిన్న వచ్చిన మీ స్నేహితుడు నీతో మాట్లాడ్తూ ఉండగా విన్నాను.,I heard it when your friend who came yesterday was saying it to you.,,నిన్న వచ్చిన మీ స్నేహితుడు నీతో మాట్లాడ్తూ ఉండగా విన్నాను.
అతను 'సుబ్బారావు అరిచాడు' అన్నాడు.,He said 'Subbarao arichadu'.,,అతను 'సుబ్బారావు అరిచాడు' అన్నాడు.
,,,
మోహన్:,Mohan:,,మోహన్:
అవును.,Yes.,,అవును.
"గోదావరి, విశాఖపట్నం జిల్లాలలో ఈ మాటలకు మొరగటం అని అర్థం.","In the districts of Godavari and Visakhapatnam, this word means barking.",,"గోదావరి, విశాఖపట్నం జిల్లాలలో ఈ మాటలకు మొరగటం అని అర్థం."
