te,en
<h1>,
పాఠ 14:,Lesson 14:
మీ ఊళ్ళో ఏమేం ఉన్నాయి?,What are there in your town?
,
రతిరామ్:,Rathiram:
నింగయ్య గారూ!,Mr Ningayya!
ఈ పెట్టెలో ఏం ఉంది?,What is there in this box?
,
నింగయ్య:,Ningayya:
సీసా ఉన్నదండీ!,"There is a bottle, sir!"
,
రతిరామ్:,Rathiram:
సీసాలో ఏం ఉంది?,What is there in the bottle?
,
నింగయ్య:,Ningayya:
మందు.,Mandu
,
రతిరామ్:,Rathiram:
మందు అంటే ఏమిటి?,What does mandu mean?
,
నింగయ్య:,Ningayya:
మందు అంటే ఇంగ్లీషులో medicine.,Mandu means medicine in English.
,
రతిరామ్:,Rathiram:
అలాగా!,I see!
మందు ఎవరికి?,For whom?
నీకా?,Is it for you?
,
నింగయ్య:,Ningayya:
ఈ మందు నాకు కాదు; మా బాబాయి గారికి.,This medicine is not for me; it is for my uncle.
,
రతిరామ్:,Rathiram:
ఎందుకు?,Why?
జ్వరమా?,(Does he have) fever?
,
నింగయ్య:,Ningayya:
జ్వరం కాదు; కడుపులో నొప్పి.,Not fever; stomachache.
కడుపులో నొప్పికి ఈ మందు చాలా మంచిది.,This medicine is very good for stomachache.
,
రతిరామ్:,Rathiram:
అరుగో మాష్టరుగారు.,There the master (is coming)!
నమస్కారమండీ!,Namaskaram sir!
,
రామనరసింహం:,Ramanarasimham:
నమస్కారం.,Namaskaram.
ఏమండీ నింగయ్య గారూ!,"Hello, Mr Ningayya!"
ఎవరికి కడుపులో నొప్పి?,Who has the stomachache?
,
నింగయ్య:,Ningayya:
మా బాబాయి గారికి.,My uncle.
,
రామనరసింహం:,Ramanarasimham:
బాబాయిగారు అంటే ఎవరు?,Which uncle is this?
మీ నాన్నగారి తమ్ముడా?,Is he your father’s younger brother?
,
నింగయ్య:,Ningayya:
కాదండీ.,"No, sir!"
మా పిన్నిగారి భర్త.,My aunt’s husband.
,
రామనరసింహం:,Ramanarasimham:
పిన్ని అంటే మీ అమ్మగారి చెల్లెలా?,By 'aunt' you mean your mother’s sister?
,
నింగయ్య:,Ningayya:
అవునండీ.,"Yes, sir!"
,
రతిరామ్:,Rathiram:
నాకు కూడా కడుపులో నొప్పి.,I too have stomachache.
,
శర్మ:,Sharma:
నాకు తలనొప్పి; జ్వరం కూడా ఉంది.,I have headache; and fever too.
,
బెనర్జీ:,Banerjee:
నాకు తలనొప్పి లేదు.,I don’t have headache.
చెవిలో నొప్పి.,But I have earache.
,
నింగయ్య:,Ningayya:
బాగుంది.,Good!
అందరూ ఈ మందు తీసుకోండి.,All of you take this medicine.
,
రామనరసింహం:,Ramanarasimham:
సరే!,All right.
ఇక పాఠం వినండి.,Now listen to the lesson.
,
రతిరామ్:,Rathiram:
మాష్టరుగారూ!,Sir!
మీది ఏం ఊరండీ?,What is your native place?
,
రామనరసింహం:,Ramanarasimham:
మాది అమరావతి.,Amaravati.
,
రతిరామ్:,Rathiram:
అది ఏ రాష్ట్రంలో ఉందండీ?,In which state is it?
,
రామనరసింహం:,Ramanarasimham:
ఆంధ్రపదేశ్ లో గుంటూరు జిల్లాలో ఉందండీ.,It is in Guntur District in Andhra Pradesh.
,
రతిరామ్:,Rathiram:
మీ ఊళ్ళో ఏమేం ఉన్నాయి?,What (attractions) are there in your town?
,
రామనరసింహం:,Ramanarasimham:
"శివాలయం, బౌద్ధస్థూపం ఉన్నాయి.",There are Shiva temple and Buddhist Stupa.
,
రతిరామ్:,Rathiram:
ఇంకా ఏమేం ఉన్నాయండీ?,What else are there?
,
రామనరసింహం:,Ramanarasimham:
కృష్ణానది ఉంది.,The river Krishna.
మ్యూజియం కూడా ఉంది.,There is also a museum.
,
రతిరామ్:,Rathiram:
మీ ఊరికి రైలు ఉందా?,Is there a rail connection to your town?
,
రామనరసింహం:,Ramanarasimham:
రైలు లేదు; బస్సు మాత్రమే ఉంది.,"No, there is only bus connection."
,
రతిరామ్:,Rathiram:
మీ ఊరికి ఫోను ఉందా?,Is there telephone connection to your town?
,
రామనరసింహం:,Ramanarasimham:
ఉంది.,"Yes, there is."
మీ ఊరు ఎక్కడ ఉందండీ?,Where is your (native) town?
,
రతిరామ్:,Rathiram:
మా ఊరు హర్యానాలో ఉంది.,My (native) town is in Haryana.
,
రామనరసింహం:,Ramanarasimham:
అవును మీరు హర్యానా వారు కదూ!,"Yes, you are a Haryana person, aren’t you?"
మీరు ఎంతమంది హర్యానా వాళ్ళు?,How many of you are Haryana people?
ఎంతమంది కేరళ వాళ్ళు?,How many Kerala persons?
ఎంతమంది ఒరిస్సా వాళ్ళు?,and how many Orissa persons?
,
మృత్యుంజయ్:,Mrithyunjay:
మాలో నేను ఒక ఒకణ్ణి ఒరిస్సా వాణ్ణి.,Amongst us I am the one Orissa person.
ఆయన కేరళ వాడు.,He is a Keralite.
ముఖర్జీ నువ్వు బెంగాలీ వాడివి కదూ!,"Mukharjee, you are a Bengali, aren’t you?"
,
ముఖర్జీ:,Mukharjee:
అవును.,Yes.
,
మృత్యుంజయ్:,Mrithyunjay:
తక్కిన వాళ్ళు హర్యానా వాళ్ళు.,The remaining persons are Haryana people.
,
రామనరసింహం:,Ramanarasimham:
అయితే తక్కిన పదిమంది హర్యానావాళ్ళు అన్నమాట.,"Then, the remaining ten persons are Haryana people."
,
శర్మ:,Sharma:
కాదండీ!,"No, sir!"
అతను మధ్యప్రదేశ్ వాడు.,He is a Madhya Pradesh person.
ఇతను మరాఠీ వాడు.,He is a Marathi person.
ఎనిమిది మందిమే హర్యానా వాళ్ళం.,Only we eight are Haryana persons.
,
నీరజ:,Neeraja:
తప్పండీ!,"It is not correct, sir!"
ఎనిమిదిమందిలో ఐదుగురే హర్యానావాళ్ళు.,Out of the eight only five are Haryana persons.
నేను కర్ణాటకదాన్ని.,I am a Karnataka person.
ఈమే కర్ణాటకదే.,She is also a Karnataka person.
మేమిద్దరం కర్ణాటకవాళ్ళం.,We two are Karnataka persons.
జ్యోతీ!,Jyothi!
నువ్వు మహారాష్ర్టదానివి కదూ!,"You are a Maharashtrian, aren’t you?"
,
జ్యోతి:,Jyothi:
అవును.,Yes.
,
రామనరసింహం:,Ramanarasimham:
అవును నీరజగారూ!,"Yes, Ms Niraja!"
మీరు కన్నడంవారు.,You are a Kannada person.
ఆమే కన్నడంవారే!,She is also a Kannada person.
ఈమె మహారాష్ట్ర వారు.,She is a Maharashtrian
,
నీరజ:,Neeraja:
మాష్టరుగారూ!,Sir!
మీరు తెలుగువారు కదూ?,"You are a Telugu person, aren’t you?"
,
రామనరసింహం:,Ramanarasimham:
అవునండీ.,Yes madam.
జ్యోతిగారూ!,Ms Jyothi!
మీరు ఒకరే మరాఠీవారు కదా!,"You are the only Marathi person, aren’t you?"
,
జ్యోతి:,Jyothi:
అవునండీ!,"Yes, sir!"
నేను ఒకదాన్నే మరాఠీదాన్ని.,I am the only Marathi person
,
నీరజ:,Neeraja:
మాష్టరుగారూ!,Sir!
ఇంక పాఠం చెప్పండి.,Now teach the lesson.
,
రామనరసింహం:,Ramanarasimham:
"ఇదుగో, ఇదే పాఠం.",This itself is the lesson.
సరే!,Okay!
ఇది కూడా వినండి.,Listen to this too.
,
***,***
,
కమల:,Kamala:
సరళా!,Sarala!
నువ్వు మంచిదానివి.,You are a nice girl.
,
సరళ:,Sarala:
నేను మంచిదాన్నే!,I am a nice girl.
మరి నువ్వు మంచిదానివి కాదా?,"And, are you not a nice girl?"
,
కమల:,Kamala:
నేను కూడా మంచిదాన్నే.,I am also a nice girl.
మనం ఇద్దరం మంచివాళ్ళం.,We both are nice girls.
అవి ఏం పూలు?,What are those flowers?
,
సరళ:,Sarala:
ఏవి?,Which ones?
తెల్ల పూలా?,The white flowers?
ఎర్ర పూలా?,Or the red flowers?
,
కమల:,Kamala:
ఆ ఎర్ర పూలు.,Those red flowers.
,
సరళ:,Sarala:
ఎర్రవి గులాబీపూలు.,The red ones are roses.
,
కమల:,Kamala:
తెల్లది మల్లెపువ్వు కదూ!,"The white one is jasmine, isn’t it?"
,
సరళ:,Sarala:
అవును.,"Yes, it is."
మీ ఇంట్లో మల్లెచెట్టు ఉందా?,Do you have a jasmine plant in your house.
,
కమల:,Kamala:
ఆ!,Yes.
