te,en
<h1>,
పాఠ 17:,Lesson 17:
నీకు పంచదార అక్కర్లేదు,You don't need sugar
,
సర్వర్:,Server:
ఏం కావాలండీ?,"What do you want, sir?"
,
మహాపాత్ర:,Mahapatra:
నాకు మూడు మినపట్లు కావాలి.,I want three Minapattus.
,
రతిరామ్:,Rathiram:
మూడు మినపట్లా?,Three Minapattus?
,
మహాపాత్ర:,Mahapatra:
అవును.,Yes.
ఈ హోటల్లో మినపట్టు చాలా చిన్నది.,The Minapattu in this hotel is very small.
నాకు ఒకటీ రెండూ చాలవు.,One or two are not sufficient for me.
,
అంజయ్య:,Anjayya:
సరే!,Alright.
ఆయనకు మూడు మినపట్లు తీసుకురా.,Bring three minapattus for him.
మాకు కాఫీ; పాపకు పాలు.,"Coffee for us, and milk for the child."
,
రతిరామ్:,Rathiram:
ఈ పాప మీ అమ్మాయా?,Is this child your daughter?
,
అంజయ్య:,Anjayya:
అవును.,Yes.
,
రతిరామ్:,Rathiram:
పాపా!,Papa!
నీ పేరేమిటమ్మా?,"What is your name, dear?"
,
పాప:,Papa:
జ్యోతి.,Jyothi.
,
రతిరామ్:,Rathiram:
మంచి పేరు.,A nice name.
,
అంజయ్య:,Anjayya:
రతిరామ్ గారూ!,Mr Ratiram!
మీది హర్యానా కదూ!,"You are from Haryana, aren't you?"
మీ ఊరి నుంచి ఇక్కడికి ఎన్ని రోజుల ప్రయాణం?,How many days journey is it from your place to this place?
,
రతిరామ్:,Rathiram:
రెండు రాత్రిళ్ళు మూడు పగళ్ళ ప్రయాణమండీ!,"It is two nights and three days journey, sir!"
,
అంజయ్య:,Anjayya:
అయితే మీ ఊరు ఇక్కణ్ణుంచి చాలా దూరమన్నమాట!,"So, your place is far from here!"
,
రతిరామ్:,Rathiram:
అవునండీ!,"Yes, sir!"
దాదాపు వెయ్యి మైళ్ళు.,It's about thousand miles.
సుమారు ఎనిమిది వందల ఎనభై మైళ్ళు రైలు ప్రయాణం.,The train journey is about eight hundred and eighty miles.
అక్కణ్ణుంచి నూట ఇరవై మైళ్ళు బస్సు ప్రయాణం.,"After that, it is one hundred and twenty miles by bus."
,
అంజయ్య:,Anjayya:
మహాపాత్ర గారూ!,Mr Mahapatra!
మీ ఊరు ఒరిస్సాలో ఉంది కదూ!,"Your native place is in Orissa, isn't it?"
,
మహాపాత్ర:,Mahapatra:
అవునండీ.,"Yes, sir!"
,
అంజయ్య:,Anjayya:
మీ ఊరికి ఇక్కణ్ణుంచి ఎంత దూరం?,What is the distance to your place from here?
,
మహాపాత్ర:,Mahapatra:
నాలుగు వందల తొంభై ఒక్క మైళ్ళు.,Four hundred and ninetyone miles.
,
అంజయ్య:,Anjayya:
రెండు రోజుల ప్రయణమా?,Is it two days journey?
,
మహాపాత్ర:,Mahapatra:
రెండు రోజులు అక్కర్లేదండీ!,"We don't need two days, sir!"
ఒక రాత్రీ ఒక పగలూ చాలు.,It is only a night and a day.
హరీ!,Hari!
మీ ఊరికి ఇక్కణ్ణుంచి ఎంత దూరం?,How far is your place from here?
,
హరి:,Hari:
సుమారు మూడు వందల కిలోమీటర్లు.,About three hundred kilometers.
రైల్వేస్టేషన్ నుంచి ఇంటికి ఒక కిలోమీటరు.,One kilometer for my house from the railway station.
,
మహాపాత్ర:,Mahapatra:
టికెట్టు ఎంత?,What is the fare?
,
హరి:,Hari:
సుమారు నూట యాభై రూపాయలు.,Roughly one hundred and fifty rupees.
,
రతిరామ్:,Rathiram:
అంజయ్యగారూ!,Mr Anjayya!
మీ ఊరికి ఎన్ని రోజుల ప్రయాణం?,How many days journey to your place?
,
అంజయ్య:,Anjayya:
మా ఊరు ఇదే!,This itself is my home-town
,
రతిరామ్:,Rathiram:
అలాగా!,I see!
"అయితే, మీ ఇంటికి ఎంత దూరం?",How far is your house?
,
అంజయ్య:,Anjayya:
ఎక్కణ్ణుంచండీ?,"From where, sir?"
,
రతిరామ్:,Rathiram:
ఇక్కణ్ణుంచేనండీ!,From here.
,
అంజయ్య:,Anjayya:
చాలా దగ్గర.,It's very near.
సుమారు ఒక ఫర్లాంగు.,About a furlong.
,
సర్వర్:,Server:
ఇదిగోనండీ కాఫీ.,"Here is coffee, sir!"
"పాపా, ఇవిగో నీకు పాలు.","Papa, this milk is for you."
,
మహాపాత్ర:,Mahapatra:
రతిరామ్!,Ratiram!
కాఫీ ఎలా ఉంది?,How is the coffee?
బాగున్నదా?,Is it good?
,
రతిరామ్:,Rathiram:
బాగా లేదు.,It's not good.
చేదుగా ఉన్నది.,It is bitter.
ఏమమ్మా!,What dear?
పాలు బాగున్నాయా?,Is the milk good?
,
పాప:,Papa:
తియ్యగా లేవండీ!,"It's not sweet, sir!"
చప్పగా ఉన్నాయి.,It is insipid.
,
అంజయ్య:,Anjayya:
ఏమయ్యా!,"Hey, you!"
ఇది కాఫీనా?,Is this coffee?
కషాయమా?,Or a decoction?
,
సర్వర్:,Server:
ఏదండీ?,"Which one, sir?"
,
అంజయ్య:,Anjayya:
ఇదేనయ్యా!,This one!
ఇంత చేదుగా ఉందేం?,Why is this so bitter?
పంచదార లేదా మీ హోటల్లో?,Don't you have sugar in your hotel?
,
లింగయ్య:,Lingayya:
నాకు బాగానే ఉంది.,It's all right for me.
,
అంజయ్య:,Anjayya:
నీకు చేదు కాఫీ అలవాటు.,It is your habit to have coffee without sugar.
నీకు పంచదార అక్కర్లేదు.,You may not need sugar.
నాకు కావాలి.,But I need it.
,
లింగయ్య:,Lingayya:
నాకు తీపి అలవాటు లేదు.,I am not accustomed to sweets.
,
పాప:,Papa:
నాకు కూడా కావాలి పంచదార.,I too need sugar.
,
అంజయ్య:,Anjayya:
