te,en,hi
<h1>,,
పాఠ 20:,Lesson 20:,पाठ २०:
నేను సినిమాకు వెళ్లాలి,I have to go to a movie,मुझे मूवी देखने जाना है
,,
గోపి:,Gopi:,गोपी:
రవీ!,Ravi!,रवि!
నువ్వు నాకొక సహాయం చెయ్యాలి.,You should do me a favour.,तुम्हे मेरी एक मदद करनी चाहिए।
,,
రవి:,Ravi:,रवि:
ఏమిటి?,What is it?,क्या?
,,
గోపి:,Gopi:,गोपी:
ఏమీ లేదు.,Nothing.,कुछ नहीं।
గాయత్రి టాకీసులో తెలుగు సినిమా ఉంది.,There is Telugu film in Gayatri talkies.,गायत्री टॉकीज में तॆलुगु फ़िल्म है।
,,
రవి:,Ravi:,रवि:
అయితే ఏమిటి?,So what?,तो क्या?
,,
గోపి:,Gopi:,गोपी:
ఆ సినిమాకు పోవాలి.,I have to go to that cinema.,मुझे उस सिनेमा में जाना है।
,,
రవి:,Ravi:,रवि:
పో!,Go then!,तो जाओ!
,,
గోపి:,Gopi:,गोपी:
నువ్వు కూడా నాతో రావాలి.,You should also come with me.,तुम्हें भी मेरे साथ आना चाहिए।
,,
రవి:,Ravi:,रवि:
నేనెందుకు?,Why should I?,मैं क्यों?
,,
గోపి:,Gopi:,गोपी:
ఎందుకేమిటి?,What do you mean 'why'?,क्यों क्या?
సినిమాకు.,For the cinema.,मूवी के लिये।
,,
రవి:,Ravi:,रवि:
ఇప్పుడు నాకు పని ఉంది.,I have work.,अभी मुझे काम है।
,,
గోపి:,Gopi:,गोपी:
ఏం పని?,What work?,क्या काम?
,,
రవి:,Ravi:,रवि:
మాష్టారుగారితో మాట్లాడాలి.,I have to speak with the teacher.,टीचर से बात करनी है।
ఒక పుస్తకం తీసుకోవాలి.,I have to take a book (from him).,एक किताब लेनी है।
,,
గోపి:,Gopi:,गोपी:
రేపు మాట్లాడు.,Talk tomorrow.,कल बात करना।
పుస్తకం రేపు తీసుకో.,Take the book tomorrow.,किताब कल लेना।
,,
రవి:,Ravi:,रवि:
ఇంకా వేరే పనులు కూడా ఉన్నాయి.,There are some more things to do.,और काम भी हैं।
రమ ఇంటికి వెళ్లాలి.,I have to go to Rama's house.,रमा के घर जाना है।
వాళ్ళ నాన్నగారిని చూడాలి.,I have to see her father.,उसके पिताजी को देखना है।
ఆయనతో మాట్లాడాలి.,I have to talk to him.,उनसे बात करनी है।
రమ తమ్ముణ్ణి కూడా చూడాలి.,I have also to see Rama's brother.,रमा के भाई को भी देखना है।
,,
గోపి:,Gopi:,गोपी:
వాళ్లను రేపు చూడు.,See them tomorrow.,उन्हें कल देखना।
ఆ పనులు రేపు చెయ్యి.,Do all those things tomorrow.,वो काम कल करना।
,,
రవి:,Ravi:,रवि:
ఇవాళే చెయ్యాలి.,I have to do them today itself.,आज ही करने पड़ेंगे।
సినిమాకు నువ్వు వెళ్ళు.,You go to the cinema.,सिनेमा तुम जाओ।
నేను వాళ్ళ కుక్కను ఇక్కడికి తీసుకురావాలి.,I have to bring their dog here.,मुझे उनके कुत्ते को इधर लाना है।
,,
గోపి:,Gopi:,गोपी:
నా దగ్గర డబ్బులు లేవు.,I don't have money.,मेरे पास पैसे नहीं हैं।
,,
రవి:,Ravi:,रवि:
అదా విషయం?,"Oh, is that the matter?",यह बात है क्या?
నా దగ్గర ఉన్నాయి.,I have money.,मेरे पास हैं।
తీసుకో!,Take it.,लो।
,,
గోపి:,Gopi:,गोपी:
"నువ్వు కూడా రా, పరవాలేదు.","You also come with me, don't worry.",तुम भी आओ। चिंता मत करो।
,,
రవి:,Ravi:,रवि:
నాకు వీలు లేదు; నువ్వు వెళ్ళు.,It's not possible for me; you can go.,मुझे मुमकिन नहीं है; तुम जाओ।
,,
గోపి:,Gopi:,गोपी:
ముందు మెస్సుకు పద.,First let's go to the mess.,पहले mess चलते हैं।
అన్నం తినాలి కదా!,"We have to eat food, isn't it?","खाना खाना है, नहीं?"
,,
శర్మ:,Sharma:,शर्मा:
నారాయణా!,Narayana!,नारायण!
ఈ కంచం బాగాలేదు.,This plate is not clean.,ये प्लेट साफ़ नहीं है।
మళ్ళీ కడుగు.,Wash it again.,फिर से धो।
,,
రతిరామ్:,Rathiram:,रतिराम:
ఏమిటి నారాయణా!,What Narayana!,क्या नारायण?
నాకు మూడు చపాతీలేనా!,Only three chapathies for me?,मुझे तीन ही चपातियाँ?
,,
నారాయణ:,Narayana:,नारायण:
ఇవాళ చపాతీలు కొన్నే ఉన్నాయండీ.,"Today we have only few chapathies, sir.",आज चपातियाँ कुछ ही हैं जी।
,,
రతిరామ్:,Rathiram:,रतिराम:
అది నాకు అనవసరం.,I am not concerned with that.,
నాకు రోజుకు కనీసం పది చపాతీలు కావాలి; తీసుకురా!,I need at least ten chapathies a day; bring them!,मुझे रोज़ कम-से-कम दस चपातियाँ चाहिये; लाओ!
,,
నారాయణ:,Narayana:,नारायण:
అయితే మెస్సు సెక్రెటరీని అడగండి.,"Then, ask the mess secretary.",तो mess secretary से पूछिये।
,,
రతిరామ్:,Rathiram:,रतिराम:
మెహకార్ సింగ్!,Mehakar singh!,महकार सिंह!
