te,en,hi,_te_TG
<h1>,,,<h1>
పాఠం 55:,Lesson 55:,पाठ 55:,పాఠం 55:
మేకను పట్టుకున్న కొండచిలువ,The python that caught a goat,बकरी को पकड़ने वाला अजगर,మేకను పట్టుకున్న కొండచిలువ
,,,
"గ్వాలియర్, సెప్టెంబర్ 26.","Gwalior, September 26.","ग्वालियर, सितंबर 26।","గ్వాలియర్, సెప్టెంబర్ 26."
,,,
మొన్న గ్వాలియర్ కోట ఆవరణలో ఒక పెద్ద కొండచిలువ ఒక మేకను పట్టుకుని మింగుతూ ఉండగా దాన్ని పట్టుకున్నారు.,"One python, while swallowing a goat inside the Gwalior fort on the other day, was caught.",परसों ग्वालियर किला परिसर में एक बड़ा अजगर एक बकरी को पकड़कर निगलते हुए पकड़ा गया।,మొన్న గ్వాలియర్ కోట ఆవరణలో ఒక పెద్ద కొండచిలువ ఒక మేకను పట్టుకుని మింగుతూ ఉండగా దాన్ని పట్టుకున్నారు.
అప్పటికి మేక శరీరంలో సగానికి పైగా కొండచిలువ నోటిలోనికి వెళ్ళపోయింది.,By that time more than half of the goat's body was inside the python's mouth.,तब तक बकरी का शरीर आधे से ज़्यादा अजगर के मुंह में जा चुका था।,అప్పటికి మేక శరీరంలో సగానికి పైగా కొండచిలువ నోటిలోనికి వెళ్ళపోయింది.
మేక వెనక కాళ్ళు మాత్రం బైటికి కనిపిస్తున్నాయి.,But the hind legs of the goat were seen outside.,बकरी की केवल पीछे की टाँगें बाहर दिख रही थीं।,మేక వెనక కాళ్ళు మాత్రం బైటికి కనిపిస్తున్నాయి.
ఆ కాళ్ళు పట్టుకొని మేకను బయటికి లాగారు.,People pulled it out with those hind legs.,उन टाँगों को पकड़कर बकरी को बाहर खींचा गया।,ఆ కాళ్ళు పట్టుకొని మేకను బయటికి లాగారు.
అప్పటికి మేక ఇంకా బతికి వుంది.,The goat was still alive by then.,तब तक बकरी जीवित थी।,అప్పటికి మేక ఇంకా బతికి వుంది.
కాని ఆ తర్వాత కొద్ది సేపటికి అది చచ్చిపోయింది.,"But after a short while, it died.",लेकिन उसके बाद थोड़ी देर में वह मर गई।,కాని ఆ తర్వాత కొద్ది సేపటికి అది చచ్చిపోయింది.
కొండచిలువను స్థానిక జంతుప్రదర్శనశాలకు అప్పగించారు.,The python was handed over to a local zoo.,अजगर स्थानीय चिड़ियाघर को सौंपा गया।,కొండచిలువను స్థానిక జంతుప్రదర్శనశాలకు అప్పగించారు.
కొండచిలువ సుమారు 40 కిలోగ్రాముల బరువు వుంది.,The python weighted about 40 kilograms.,अजगर का वज़न लगभग 40 किलोग्राम था।,కొండచిలువ సుమారు 40 కిలోగ్రాముల బరువు వుంది.
దాని వయస్సు పది సంవత్సరాలు.,It was ten years old.,उसकी उम्र दस साल थी।,దాని వయస్సు పది సంవత్సరాలు.
అది పట్టుకున్న మేక బరువు 15 కిలోగ్రాములు.,The goat captured by the python was 15 kilograms.,उसने जो बकरी पकड़ी थी उसका वज़न 15 किलोग्राम था।,అది పట్టుకున్న మేక బరువు 15 కిలోగ్రాములు.
,,,
ఆంధ్రప్రభ 27-9-1975,Andhra Prabha 27-9-1975,आंध्रप्रभा 27-9-1975,ఆంధ్రప్రభ 27-9-1975
,,,
***,***,***,***
,,,
<h2>,,,
"పాపం, రవి!",Poor Ravi!,बेचारा रवि!,"పాపం, రవి!"
,,,
రవి బడికి వెళ్తూ దోవలో ఒక జామ చెట్టును చూశాడు.,"Ravi, on his way to school, saw a guava tree.",रवि ने स्कूल जाते हुए रास्ते में एक अमरूद का पेड़ देखा।,రవి బడికి వెళ్తూ దోవలో ఒక జామ చెట్టును చూశాడు.
చెట్టుకు జామకాయలున్నాయి.,There were fruits on the tree.,पेड़ पर अमरूद थे।,చెట్టుకు జామకాయలున్నాయి.
అతనికి నోరూరింది.,He wanted to eat them.,उसके मुँह में पानी आया।,అతనికి నోరూరింది.
ఒక రాయి తీసుకుని కాయను కొట్టాడు.,He threw a stone at the fruits.,एक पत्थर लेकर फल की ओर मारा।,ఒక రాయి తీసుకుని కాయను కొట్టాడు.
అక్కడ ఉన్న కాకికి ఆ రాయి తగిలింది.,The stone hit a crow which was there on the tree.,वहाँ बैठे एक कौए को वह पत्थर लगा।,అక్కడ ఉన్న కాకికి ఆ రాయి తగిలింది.
అది కింద పడ్డది.,It fell down.,वह नीचे गिरा।,అది కింద పడ్డది.
రవి దాని దగ్గరికి వెళ్ళి చూసాడు.,Ravi went close to it and looked at it.,रवि ने उसके पास जाकर देखा।,రవి దాని దగ్గరికి వెళ్ళి చూసాడు.
అది బతికి లేదు.,It was not alive.,वह जीवित नहीं था।,అది బతికి లేదు.
దెబ్బ బాగా తగలటం వల్ల చచ్చింది.,"Since it was hurt severely, it died.",चोट ज़ोर से लगने के कारण मर गया था।,దెబ్బ బాగా తగలటం వల్ల చచ్చింది.
"రాయి విసిరేటప్పుడు అది ఆ కాకికి తగులుతుందని, ఆ కాకి చస్తుందని రవి అనుకోలేదు.",While throwing the stone Ravi never thought that it would hit the crow and the crow would die.,"पत्थर फैकते समय वह उस कौए को लगेगा, और कौआ मर जाएगा, ऐसा रवि ने नहीं सोचा था।","రాయి విసిరేటప్పుడు అది ఆ కాకికి తగులుతుందని, ఆ కాకి చస్తుందని రవి అనుకోలేదు."
అది చావటం వల్ల ఎవరైనా చూసి తిడ్తారేమోనని భయపడ్డాడు.,He was afraid that someone might scold him.,उसके मरने के कारण कोई देखकर डाँटेगा इसका उसे डर लगा।,అది చావటం వల్ల ఎవరైనా చూసి తిడ్తారేమోనని భయపడ్డాడు.
రాళ్ళు వెయ్యకుండా చెట్టు ఎక్కి జామకాయలు కోద్దాం అనుకున్నాడు.,He wanted to pluck some guavas by climbing the tree without throwing stones any more.,(उसने) पत्थर फेंके बिना पेड़ चढ़कर अमरूद तोड़ने की सोची।,రాళ్ళు వెయ్యకుండా చెట్టు ఎక్కి జామకాయలు కోద్దాం అనుకున్నాడు.
చెట్టు ఎక్కుతూండగా కాలు జారి కింద పడిపోయాడు.,But while climbing up the tree he slipped and fell down.,पेड़ चढ़ते हुए (उसका) पैर फिसला और वह नीचे गिर गया।,చెట్టు ఎక్కుతూండగా కాలు జారి కింద పడిపోయాడు.
అతను పట్టుకున్న కొమ్మ గూడా విరిగిపోయింది.,The branch he was holding also broke.,उसने जो डाली पकड़ी हुई थी वह भी टूट गई।,అతను పట్టుకున్న కొమ్మ గూడా విరిగిపోయింది.
కింద వాన నీళ్ళున్నాయి.,There was rain water below.,नीचे बारिश का पानी था।,కింద వాన నీళ్ళున్నాయి.
నీళ్ళల్లో పడటం వల్ల అతని బట్టలు తడిసిపోయాయి.,Since he fell into the water his clothes got wet.,पानी में गिरने की वजह से उसके कपड़े भीग गए।,నీళ్ళల్లో పడటం వల్ల అతని బట్టలు తడిసిపోయాయి.
వాళ్ళ నాన్నగారికి చెప్పకుండా పెట్టుకుని వచ్చిన గడియారం కూడా తడిసిపోయింది.,The watch he wore without his father's knowledge also got wet.,उसके पिताजी को बताए बिना पहनी हुई घड़ी भी भीग गई।,వాళ్ళ నాన్నగారికి చెప్పకుండా పెట్టుకుని వచ్చిన గడియారం కూడా తడిసిపోయింది.
నీళ్ళు తగలగానే అది ఆగిపోయింది.,"The moment it fell in the water, it stopped working.",पानी लगते ही वह रुक गई।,నీళ్ళు తగలగానే అది ఆగిపోయింది.
వాళ్ళ నాన్నగారు కోప్పడతారేమోనని అతను భయపడిపోయాడు.,He was afraid that his father might scold him.,उसके पिताजी डाँटेंगे इसका उसे डर लगा।,వాళ్ళ నాన్నగారు కోప్పడతారేమోనని అతను భయపడిపోయాడు.
అప్పటికి స్కూలు టైము అయిపోయింది.,By then it was time for school.,तब तक स्कूल का समय हो गया था।,అప్పటికి స్కూలు టైము అయిపోయింది.
వాళ్ళ నాన్నగారు అప్పటికి ఆఫీసుకు వెళ్ళిపోయి ఉంటారు అనుకుని మెల్లగా ఇంటికి వెళ్ళేసరికి వాళ్ళ నాన్నగారు వరండాలో కూర్చుని వున్నారు.,"Thinking that his father would have left for his office, he slowly went home, but his father was in the verandah by the time he reached.","उसके पिताजी तब तक office जा चुके होंगे यह सोचकर जब वह धीरे-धीरे घर गया, तब तक उसके पिताजी बरामदे में ही थे।",వాళ్ళ నాన్నగారు అప్పటికి ఆఫీసుకు వెళ్ళిపోయి ఉంటారు అనుకుని మెల్లగా ఇంటికి వెళ్ళేసరికి వాళ్ళ నాన్నగారు వరండాలో కూర్చుని వున్నారు.
,,,
<h2>,,,<h2>
కొత్త పదాలు,New words,नए शब्द,కొత్త పదాలు
,,,
<ol>,,,<ol>
మేక,goat,बकरी,మేక
కొండచిలువ,python,अजगर,కొండచిలువ
కోట,fort,किला,కోట
ఆవరణం,"campus, premises",परिसर,ఆవరణం
మింగు,swallow,"निगलो, गटको",మింగు
లాగు,pull,खींचो,లాగు
బతుకు,be alive,जीवित होना,బతుకు
కొద్ది,little,थोड़ा,కొద్ది
చావు,die,मरो,చావు
స్థానిక,local,स्थानीय,స్థానిక
జంతుప్రదర్శనశాల,zoo,चिड़ियाघर,జంతుప్రదర్శనశాల
అప్పగించు,hand over,सौंप दो,అప్పగించు
జామ,guava (adj),अमरूद (का),జామ
నోరూరు,mouth getting watered,मुंह में पानी आना,నోరూరు
విసురు,throw,फेंको,విసురు
కాకి,crow,कौआ,కాకి
జారు,slip (v),फिसलो,జారు
కోప్పడు,scold,डाँटो,కోప్పడు
భయపడు,get scared,डरो,భయపడు
