te,en,hi
<h1>,,
పాఠ 19:,Lesson 19:,पाठ 19:
చూడు వీరు ఎవరో!,Look who he is!,देखो ये कौन हैं!
,,
శేషాద్రి:‌‌‍,Sheshaadri:,शेषाद्रि:
రండి రామారావుగారూ!,Please come in Mr. Ramarao!,आइए रामाराव जी!
కూర్చోండి!,Be seated!,बैठिए!
,,
రామారావు:,Ramarao:,रामाराव:
మీ ఇల్లు చాలా బాగుందండీ!,"Your house is very nice, sir!",आपका घर बहुत अच्छा है!
అద్దె ఎంత?,What is the rent?,किराया कितना है?
,,
శేషాద్రి:,Sheshaadri:,शेषाद्रि:
అద్దె ఇల్లు కాదండీ!,This is not a rented house!,किराए का घर नहीं है!
సొంత ఇల్లే!,It's my own house!,अपना घर है!
,,
రామారావు:,Ramarao:,रामाराव:
అందుకే ఇంత బాగుంది.,That's why it's so nice.,इसी लिये इतना अच्छा है।
,,
శేషాద్రి:,Sheshaadri:,शेषाद्रि:
శారదా!,Shaarada!,शारदा!
ఇలారా!,Come here!,यहाँ आओ!
చూడు వీరు ఎవరో?,See who he is?,देखो ये कौन हैं।
,,
శారద:,Shaarada:,शारदा:
ఓ!,Oh!,ओह!
రామారావుగారు కదూ!,"Mr. Ramarao, isn't it?","रामाराव जी, नहीं?"
నమస్కారమండీ!,Hello!,नमस्कार!
ఇంట్లో అందరూ బాగున్నారా?,Is everyone at home fine?,घर में सब ठीक हैं क्या?
,,
రామారావు: ,Ramarao:,रामाराव:
ఆ!,Yes!,हाँ!
మీ పాప ఏది?,Where is your child?,आपकी बच्ची कहाँ है?
,,
శారద:,Shaarada:,शारदा:
గదిలో ఉంది.,She is in the room.,कमरे में है।
పాపా ఇలారా!,"Dear child, come here!",बिटिया यहाँ आओ!
,,
శేషాద్రి:,Sheshaadri:,शेषाद्रि:
శారదా!,Shaarada!,शारदा!
వారికి కాఫీ ఇవ్వు.,Give him coffee.,इन्हें कॉफ़ी दो।
,,
శారద:,Shaarada:,शारदा:
ముందీ బిస్కెట్లు తీసుకోండి.,Please have these biscuits first.,पहले बिस्किट लीजिए।
,,
రామారావు:,Ramarao:,रामाराव:
ఏం పాపా!,Dear child!,बिटिया!
నీ పేరేమిటి?,What is your name?,तुम्हारा नाम क्या है?
,,
శేషాద్రి:,Sheshaadri:,शेषाद्रि:
మామయ్యగారికి నీ పేరేమిటో చెప్పు.,Tell uncle what your name is.,मामाजी को अपना नाम बताओ।
,,
పాప:,Child:,बच्ची:
లత.,Lata.,लता।
,,
రామా:,Rama:,रामा:
నువ్వు మంచిపాపవి.,You are a nice child.,तुम अच्छी बच्ची हो।
కొంచెం దగ్గరికి రామ్మా!,Come closer!,थोड़ा पास आओ बिटिया!
ఇక్కడికి రా!,Come here!,इधर आओ!
ఈ చాక్లెట్లు తీసుకో!,Take these chocolates!,ये चॉकलेट लो!
నా దగ్గర కూర్చో.,Sit beside me.,मेरे पास बैठो।
ఈ పెట్టెలో ఏముందో చూడు.,See what is in this packet.,इस पैकेट में क्या है देखो।
,,
శేషాద్రి:,Sheshaadri:,शेषाद्रि:
వెళ్ళమ్మా!,Go dear!,जाओ बिटिया!
మామయ్యగారి దగ్గరికి వెళ్లు.,Go to uncle.,मामाजी के पास जाओ।
,,
రామా:,Rama:,रामा:
లత!,Lata!,लता!
ఈ బొమ్మ చూడు!,Look at this doll!,यह गुड़िया देखो!
బాగుందా?,Is it fine?,ठीक है क्या?
,,
లత:,Lata:,लता:
చాలా బాగుంది.,It is very good.,बहुत अच्छी है।
ఇది ఎవరికి?,For whom is this?,यह किसके लिये है?
,,
రామా:,Rama:,रामा:
నీకే!,It is for you!,तुम्हारे लिए ही है!
తీసుకో!,Take it!,लो!
"ఇదుగో, ఈ బిస్కెట్టు కూడా నీకే!",This biscuit is also for you!,यह बिस्किट भी तुम्हारे लिए ही है!
తిను.,Eat it.,खाओ।
,,
పాప:,Child:,बच्ची:
నాకు బిస్కెట్టు ఒద్దు.,I don't want the biscuit.,मुझे बिस्किट नहीं चाहिए।
బొమ్మ కావాలి.,I want the doll.,गुड़िया चाहिए।
బిస్కెట్టు మీరే తినండి!,You please have the biscuit!,बिस्किट आप ही खाइए!
,,
రామా:,Rama:,रामा:
నీకు బిస్కెట్టు ఎందుకొద్దు?,Why don't you want the biscuit?,तुम्हें बिस्किट क्यों नहीं चाहिए?
,,
పాప:,Child:,बच्ची:
"నాకు ఇప్పుడు ఆకలి లేదు, అందుకు.",I am not hungry now.,"मुझे अभी भूख नहीं है, इस लिये।"
,,
శారద:,Shaarada:,शारदा:
కాఫీ తీసుకోండి.,Please take this coffee.,कॉफ़ी लीजिए।
,,
రామా:,Rama:,रामा:
నాకు ఇంత కాఫీ వద్దు.,I don't want this much coffee.,मुझे इतनी कॉफ़ी नहीं चाहिए।
కొంచెం తియ్యండి.,Please take out (reduce) a little.,थोड़ी निकाल दीजिए।
పంచదార కొంచెం కావాలి.,I want some sugar.,चीनी थोड़ी चाहिए।
అంతవెయ్యకండి.,Please don't put that much.,उतनी मत डालिए।
కొంచెం చాలు.,A little is enough.,थोड़ी काफ़ी है।
,,
శేషాద్రి:,Sheshaadri:,शेषाद्रि:
మీ రవి అడ్రసు చెప్పండి.,Please tell me your Ravi's address.,आपके रवि का पता बताइए।
శారదా!,Shaarada!,शारदा!
డైరీలో రవి అడ్రసు రాయి!,Write Ravi's address in the diary.,डायरी में रवि का पता लिखो!
,,
శారద:,Shaarada:,शारदा:
ఏది మీ డైరీ?,Where is your diary?,कहाँ है आपकी डायरी?
ఇక్కడ లేదు.,It is not here.,यहाँ नहीं है।
,,
శేషాద్రి:,Sheshaadri:,शेषाद्रि:
సొరుగులో ఉందేమో చూడు.,See if it is in the drawer.,दराज में होगी देखो।
,,
శారద:,Shaarada:,शारदा:
ఉంది.,"Yes, it is.",है।
చెప్పండి రామారావుగారూ!,Tell me Mr. Ramarao.,बताइए रामाराव जी!
,,
రామా:,Rama:,रामा:
"28, పోలీసు స్టేషను వీథి, కొత్తపేట, గుంటూరు.","28, Police station street, Kottapeta, Guntur.","28, पोलीस स्टेशन गली, कॊत्तपेटा, गुंटूरु।"
,,
శేషాద్రి:,Sheshaadri:,शेषाद्रि:
శారదా!,Shaarada!,शारदा!
ఆ అడ్రసు కింద గీతగియ్యి.,Please underline that address.,उस पते के नीचे रेखा खींचो।
లక్ష్మీ!,Lakshmi!,लक्ष्मी!
ఇక్కణ్ణించి కాఫీ కప్పు తియ్యి.,Take away this coffee cup.,यहाँ से कॉफ़ी का कप हटाओ।
ఆ బల్లమీద పెట్టు.,Keep it on that table.,उस टेबल पर रखो।
,,
శారద:,Shaarada:,शारदा:
లక్ష్మీ!,Lakshmi!,लक्ष्मी!
ఎక్కడున్నావు?,Where are you?,कहाँ हो?
తొందరగా రా!,Come quickly!,जल्दी आओ!
ఇప్పుడు పూలు కొయ్యకు.,Don't pluck the flowers now.,अभी फूल मत तोड़ो।
ముందు గులాబీ మొక్కలకు నీళ్లు పొయ్యి.,Water those rose plants first.,पहले गुलाब के पौधों को पानी डालो।
తర్వాత పూలు కొయ్యి.,"After that, you pluck the flowers.",उसके बाद फूल तोड़ो।
,,
పాప:,Child:,बच्ची:
"ఆరున్నరకు నాటకం ఉంది కదా, నానగారు!","You know there is a play at 6:30, father!","साढ़े छह को नाटक है, है ना पिताजी?"
బయల్దేరండి.,Let's start.,चलते हैं।
,,
శేషాద్రి:,Sheshaadri:,शेषाद्रि:
తొందర ఎందుకు?,Why such a hurry?,जल्दी क्यों?
ఇప్పుడు ఐదున్నరే!,It's only 5:30 now!,अभी साढ़े पाँच ही हुए हैं!
శారదా!,Shaarada!,शारदा!
నువ్వు గూడా బయల్దేరు!,You also start!,तुम भी चलो।
రామారావుగారూ!,Mr. Ramarao!,रामाराव जी!
మీరు కూడా రండి; మంచి నాటకం.,Please join us; it's a good play.,आप भी आइए; अच्छा नाटक है।
‘కన్యాశుల్కం’.,‘Kanyashulkam’.,‘कन्याशुल्कम्’।
,,
<h2>,,
కొత్త పదాలు,New words,नए शब्द
,,
<ol>,,
అద్దె,rent,किराया
అందుకు,"that's why, for that reason",उस लिये
బిస్కెట్టు,biscuit,
మామయ్య,maternal uncle,मामा
తిను,eat,खाओ
ఆకలి,hunger,भूख
వద్దు,variant of ఒద్దు,नहीं चाहिए
అడ్రసు,address (n),पता
డైరీ,diary,डायरी
రాయి,write,लिखो
సొరుగు,drawer of a table or box,दराज
పోలీసు స్టేషను,Police station,
వీథి,street,गली
పేట,a suburb or division of a big town or city,नगर
గీత,line,"रेखा, लकीर"
