te,en
<h1>,
పాఠ 11:,Lesson 11:
ఇప్పుడు టైమెంత?,What is the time now?
,
సరళ:,Sarala:
"కమలా, ఇప్పుడు టైము ఎంత?","Kamala, what is the time now?"
,
కమల:,Kamala:
ఇదుగో గడియారం.,Here is the watch.
,
సరళ:,Sarala:
ఇక్కడ ఐదు గడియారాలు ఉన్నాయి!,There are five watches here!
,
కమల:,Kamala:
ఈ గదిలో ఐదుగురం ఉన్నాం.,There are five persons in this room.
"ఈ మూడు గడియారాలలో ఒకటి నాది, ఒకటి రమది, ఒకటి విజయది.","Among these three watches, one is mine, the other one is Rama's and the third one is Vijaya's."
ఆ రెండు గడియారాలలో ఒక గడియారం సుశీలది; ఇంకొక గడియారం ప్రభది.,In those two watches one is Susila's and the other is Prabha's.
,
సరళ:,Sarala:
ఇదేమిటి?,What is this?
ఒక గడియారంలో ఒకటీ ఇరవైనాలుగు.,It is 1:24 in one watch.
ఇంకొక గడియారంలో ఒకటీ ముప్ఫై ఒకటి.,In another watch it is 1:31.
ఈ గడియారంలో ఒకటీ నలభై.,It is 1:40 in this watch.
ఆ గడియారంలో ఒకటీ యాభై.,It is 1:50 in that watch.
ఈ గడియారంలో ఒంటిగంట.,It is one o'clock in this watch.
,
కమల:,Kamala:
కరెక్టు టైము ఒకటీ ముప్ఫై.,The correct time is 1:30.
రమ గడియారం ఆరు నిమిషాలు స్లో.,Rama's watch is running six minutes slow.
నాది ఒక నిమిషం ఫాస్టు.,Mine is running one minute fast.
విజయది పది నిమిషాలు ఫాస్టు.,Vijaya's is running ten minutes fast.
ప్రభది ఇరవై నిమిషాలు ఫాస్టు.,Prabha's is running twenty minutes fast.
,
సరళ:,Sarala:
ఆ గోడ గడియారంలో రెండు గంటలు.,It is two o'clock in that clock.
అది ఒక గంట ఫాస్టు.,That is running one hour fast.
,
కమల:,Kamla:
కాదు.,No.
అది అరగంట ఫాస్టు.,It is running half an hour fast.
ఇప్పుడు కరెక్టు టైము ఒకటిన్నర కదా!,"Now the correct time is 1:30, isn't it?"
,
సరళ:,Sarala:
మీరు అందరూ బి.యేనా?,Are all of you studying B.A.?
,
కమల:,Kamala:
కాదు.,No.
"ఒకరు బి.ఏ., ఒకరు బి.ఎస్.సి., ఒకరు బి.కామ్.","One is doing her B.A., the other B.Sc., and the third one B.Com."
ఇద్దరు డిప్లొమా.,The rest of the two are doing diploma.
,
***,
,
గురునాథం:,Gurunadham:
ఏమండీ!,Sir!
ఇది గుంటూరు బస్సేనా?,Is this Guntur (bound) bus?
,
రామయ్య:,Ramayya:
కాదు.,No.
,
గురు:,Guru:
ఇది పదింబావు బస్సు కాదా?,Is this not the bus sheduled for 10:15?
,
రామ:,Rama:
కాదు.,No.
,
గురు:,Guru:
ఇప్పుడు టైము ఎంత?,What is the time now.
,
రామ:,Rama:
పదిన్నర.,10:30.
,
గురు:,Guru:
నాటైం తొమ్మిది ముప్పావు.,It is 9:45 in my watch.
,
రామ:,Rama:
మీ టైం తప్పు.,Then your watch is incorrect.
ముప్పావు గంట స్లో.,It is running 45 minutes slow.
,
గురు:,Guru:
మళ్లీ గుంటూరు బస్సు ఎప్పుడు?,When is the next bus to Guntur.
,
రామ:,Rama:
పావు గంట తర్వాత పాసింజరు బస్సు.,There is a passenger bus 15 minutes later.
నలభై నిమిషాల తర్వాత express బస్సు.,There is an express bus after forty minutes.
,
***,
,
పాప:,Papa:
ఏమండీ ఇప్పుడు టైము ఎంత?,"Madam, what is the time now?"
,
మేడం:,Madam:
ఇప్పుడు టైము మూడూ నలభై.,It is 3:40 now.
,
గీత:,Geetha:
పాపా!,Papa!
ఇవి నీ కొత్త బట్టలా?,Are these your new clothes?
,
పాప:,Papa:
అవునండీ!,"Yes, Madam!"
ఇవి నా పుట్టినరోజు బట్టలు.,These are my birthday clothes.
,
గీత:,Geetha:
అలాగా!,I see!
నీ పుట్టినరోజు ఎప్పుడు?,When was your birthday?
,
పాప:,Papa:
మొన్న.,It was day before yesterday.
,
గీత:,Geetha:
ఆ రోజు ఏం వారం?,What day was that?
,
పాప:,Papa:
శుక్రవారం.,It was Friday.
పంధొమ్మిదో తారీకు.,The nineteenth.
,
రవి:,Ravi:
తప్పు.,It's wrong.
మొన్న శుక్రవారం కాదు.,It was not Friday the day before yesterday.
ఇవ్వేళ సోమవారం.,Today is Monday.
నిన్న ఆదివారం.,Yesterday was Sunday.
మొన్న శనివారం.,The day before yesterday was Saturday.
,
పాప:,Papa:
అవును.,Yes.
ఆరోజు శనివారం.,That day was Saturday.
,
గీత:,Geetha:
రవీ!,Ravi!
నీ పుట్టినరోజు ఎప్పుడు?,When is your birthday?
,
రవి:,Ravi:
ఈ నెలలోనే.,It is in this month.
,
గీత:,Geetha:
ఈ నెలలో ఎన్నో తారీకు?,What is the date in this month?
,
రవి:,Ravi:
ఇరవైమూడో తారీకు.,The twenty-third.
,
గీత:,Geetha:
అయితే నీ పుట్టినరోజు ఎల్లుండి బుధవారమన్న మాట!,Then your birthday is the day after tomorrow!
,
రవి:,Ravi:
అవును.,Yes.
ఇవ్వేళ సోమవారం.,Today is Monday.
రేపు మంగళవారం.,Tomorrow is Tuesday.
ఎల్లుండి బుధవారం.,And the day after tomorrow is Wednesday.
,
పాప:,Papa:
మీ పుట్టినరోజు ఎప్పుడండీ?,"When is your birthday, Madam?"
,
గీత:,Geetha:
నా పుట్టినరోజు రిపబ్లిక్ డే మర్నాడు.,My birthday is on the day next to the Republic day.
,
పాప:,Papa:
అయితే మీ పుట్టినరోజు జనవరి ఇరవై ఏడో తారీకన్నమాట!,Then your birthday is on the 27th of January.
ఆ రోజు ఏం వారం?,What day is that?
,
గీత:,Geetha:
రవీ!,Ravi!
కాలెండరులో చూడు.,See the calendar.
,
రవి:,Ravi:
జనవరి ఇరవై ఏడు గురువారం.,January the 27th is Thursday.
,
గీత:,Geetha:
ఈ బొమ్మలు ఎవరివి పాపా?,"Whose dolls are these, Papa?"
,
పాప:,Papa:
"ఒకటి నాది, ఒకటి వీడిది.",One is mine and the other is his.
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
టైము,time
ముప్ఫై,thirty
నలభై,fourty
యాభై,fifty
ఒంటిగంట,one o'clock
కరెక్టు,correct
నిమిషం,minute
స్లో,slow
ఫాస్టు,fast
గోడగడియారం,wall clock
గంట,hour
అర,half
బి.ఎ.,B.A.
బి.ఎస్ సి.,B.Sc.
బి.కామ్.,B.Com.
డిప్లొమా,diploma
బస్సు,bus
పావు,quarter
ముప్పావు,three-quarter
తప్పు,fault; mistake; wrong
మళ్ళీ,again
తర్వాత,after
పాసింజరు,passenger
మొన్న,day before yesterday
శుక్రవారం,Friday
సోమవారం,Monday
నిన్న,yesterday
ఆదివారం,Sunday
శనివారం,Saturday
బుధవారం,Wednesday
మంగళవారం,Tuesday
రిపబ్లిక్ డే,Republic Day
మర్నాడు,the next day
