te,en,_hi,_te_TG
<h1>,,,<h1>
పాఠం 25:,Lesson 25:,पाठ 25:,పాఠం 25:
ఎక్కువగా తినటం మంచిది కాదు,Eating too much is not good ,ज़्यादा खाना ठीक नहीं,ఎక్కువగా తినటం మంచిది కాదు
,,,
శర్మ:,Sharma:,,శర్మ:
ఏం ప్రసాద్!,Hello Prasad!,,ఏం ప్రసాద్!
కళ్ళజోడు ఎన్ని రోజుల నించి పెట్టుకుంటున్నావు?,How long have you been wearing glasses?,,కళ్ళజోడు ఎన్ని రోజుల నించి పెట్టుకుంటున్నావు?
నువ్వు కళ్ళజోడు పెట్టుకోటం ఇప్పుడే చూస్తున్నాను.,I see you wearing for the first time just now.,,నువ్వు కళ్ళజోడు పెట్టుకోటం ఇప్పుడే చూస్తున్నాను.
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
నాలుగు రోజుల నించే పెట్టుకుంటున్నాను.,I started wearing glasses for the last foour days only.,,నాలుగు రోజుల నించే పెట్టుకుంటున్నాను.
మీ పేటలో ఇళ్ళు ఖాళీగా ఉన్నాయా?,Do you have any houses vacant in your area?,,మీ పేటలో ఇళ్ళు ఖాళీగా ఉన్నాయా?
,,,
శర్మ:,Sharma:,,శర్మ:
ఎందుకు?,Why?,,ఎందుకు?
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
నాకు కావాలి.,I want one.,,నాకు కావాలి.
,,,
శర్మ:,Sharma:,,శర్మ:
ఏం?,Why?,,ఏం?
మీ ఇల్లు బాగానే ఉందిగా?,"Your house is all right, isn't it?",,మీ ఇల్లు బాగానే ఉందిగా?
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
ఇల్లు బాగానే ఉంది;,This house is good.,,ఇల్లు బాగానే ఉంది;
కాని ఉండడం చాలా కష్టంగా ఉంది.,But it is getting difficult to stay in that house.,,కాని ఉండడం చాలా కష్టంగా ఉంది.
,,,
శర్మ:,Sharma:,,శర్మ:
ఏం?,Why?,,ఏం?
ఇంటతను మంచివాడు కాదా?,Is your landlord not a good person?,,ఇంటతను మంచివాడు కాదా?
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
ఇంటతను మంచివాడే!,The landlord is a good person.,,ఇంటతను మంచివాడే!
కాని ఇల్లంతా చీకటి.,But he house is entirely dark.,,కాని ఇల్లంతా చీకటి.
ఎప్పుడూ లైటు ఉండాలి.,The lights should be on all the time.,,ఎప్పుడూ లైటు ఉండాలి.
అంతే కాదు.,That is not all.,,అంతే కాదు.
ఆఫీసుకు చాలా దూరం గూడా!,It is also far off from the office.,,ఆఫీసుకు చాలా దూరం గూడా!
రావడం పోవడం ఎంతో కష్టం.,It is difficult to go and come back.,,రావడం పోవడం ఎంతో కష్టం.
,,,
శర్మ:,Sharma:,,శర్మ:
మీ పేటలో ఇళ్ళ కంటె మా పేటలో ఇళ్ళ అద్దెలు ఎక్కువ.,The house rents are higher in our area than in your area.,,మీ పేటలో ఇళ్ళ కంటె మా పేటలో ఇళ్ళ అద్దెలు ఎక్కువ.
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
అయితే ఏం?,So what?,,అయితే ఏం?
మా పేటలో ఇళ్ళ కంటె మీ పేటలో ఇళ్ళు బాగున్నాయి.,The houses in your locality are more convenient than in our locality.,,మా పేటలో ఇళ్ళ కంటె మీ పేటలో ఇళ్ళు బాగున్నాయి.
పెద్దవి గూడా!,They are big too.,,పెద్దవి గూడా!
మీ ఇంటతను మంచివాడేనా?,Is your landlord a good man?,,మీ ఇంటతను మంచివాడేనా?
,,,
శర్మ:,Sharma:,,శర్మ:
ఆ!,Yes!,,ఆ!
మా పేటలో అందరూ మంచివాళ్ళే.,All people in our locality are good.,,మా పేటలో అందరూ మంచివాళ్ళే.
చెడ్డవాళ్ళే లేరు.,No bad people here.,,చెడ్డవాళ్ళే లేరు.
మా ఇంటి పక్కన ఒక ఇల్లు ఉంది;,There is one house vacant beside my house.,,మా ఇంటి పక్కన ఒక ఇల్లు ఉంది;
రా!,Come with me.,,రా!
,,,
ప్రసాద్:,Prasad:,,ప్రసాద్:
ఇప్పుడు టైం చాలదు.,now the time is not sufficient.,,ఇప్పుడు టైం చాలదు.
బస్సు కూడా ఉందో లేదో!,It is not known whether bus is available or not.,,బస్సు కూడా ఉందో లేదో!
,,,
శర్మ:,Sharma:,,శర్మ:
