te,en
<h1>,
పాఠ 15:,Lesson 15:
పొడుపు కథ,A Riddle
,
తాతయ్య:,Taatayya:
పిల్లలూ!,Children!
అందరూ ఇలా రండి.,All of you come here.
మీరందరూ నిన్న సాయంత్రం ఆరు గంటలకు ఇంట్లో ఉన్నారా?,Were all of you at home at 6 o’clock yesterday evening?
,
గోపి:,Gopi:
లేము తాతయ్య!,"No grandfather, we weren’t."
బస్టాండు దగ్గర ఒక గుడి ఉంది కదా!,"There is a temple near the bus stand, isn’t it?"
ఆ గుళ్ళో నిన్న నాటకం ఉంది.,There was a play in that temple yesterday.
మేం అందరం నిన్న అక్కడ ఉన్నాం.,We were all there yesterday.
,
తాతయ్య:,Taatayya:
బస్టాండు దగ్గర రెండు గుళ్ళు ఉన్నాయి.,There are two temples near the bus stand.
నాటకం ఏ గుళ్ళో?,In which temple was the play?
,
గోపి:,Gopi:
పెద్ద గుళ్ళో,In the big temple.
,
తాతయ్య:,Taatayya:
నాటకం ఎన్ని గంటలకు?,At what time was the play?
,
గోపి:,Gopi:
ఆరు గంటల ముప్ఫై నిమిషాలకు.,At 6:30.
,
తాతయ్య:,Taatayya:
అయితే మీరందరూ నిన్న సాయంత్రం ఇంట్లో లేరన్నమాట.,"Then, you were all not at home yesterday evening."
,
గోపి:,Gopi:
అవును,Yes.
,
తాతయ్య:,Taatayya:
అయితే రాము ఎక్కడున్నాడు?,"Then, where was Ramu?"
,
గోపి:,Gopi:
ఏమో! ఎక్కడున్నాడో!,We don't know where he was!
సినిమా హాల్లో ఉన్నడేమో!,He might be in a cinema hall.
,
రాము:,Ramu:
అబద్ధం గోపీ!,"It is a lie, Gopi!"
నేను నిన్న ఉదయం ఇంట్లోనే ఉన్నాను.,I was at home yesterday morning.
నిన్న మధ్యాహ్నం కూడా ఇంట్లోనే ఉన్నాను.,I was at home yesterday afternoon also.
సాయంత్రం మాత్రమే లేను.,I was not at home only in the evening yesterday.
,
తాతయ్య:,Taatayya:
సరే!,Okay!
నా పుస్తకం మీ అలమరలో ఉందా?,Is my book there in your cupboard?
,
గోపి:,Gopi:
లేదు.,No.
,
తాతయ్య:,Taatayya:
మరి ఎక్కడున్నది?,"Then, where it is?"
,
గోపి:,Gopi:
ఏమో! ఎక్కడున్నదో!,We don’t know where it is.
,
తాతయ్య:,Taatayya:
రామూ!,Ramu!
నా పుస్తకం వెతుకు.,Search for my book.
ఈ పాప సుబ్బారావు కూతురు కదూ!,"This child is Subbarao’s daughter, isn’t she?"
పాపా!,Papa!
నువ్విక్కడున్నావా?,You are here?
,
రాము:,Ramu:
