te,en
<h1>,
పాఠ 18:,Lesson 18:
గుడి - బడి,Temple and School
,
<ul>,
మా ఊళ్ళో ఒక గుడి ఉంది.,"A temple in our town,"
ఆ గుడి చుట్టూ తోటుంది,"A garden around the temple,"
ఆ గుళ్లో ఒక బొమ్ముంది --,"An idol in the temple,"
ఆ బొమ్మకు ప్రాణం పదిమంది.,Its life is the people.
,
<ul>,
మా ఊళ్లో ఒక బడి ఉంది,"A school in our town,"
ఆ బడి చుట్టూ తోటుంది,"Around it a garden,"
ఆ బడిలో ఒకరున్నారు --,"One is there in the school,"
ఆ బడి పిల్లలకు మాష్టారు.,"He, pupils’ teacher in the school."
,
<ul>,
గుళ్లో రోజూ నైవేద్యం ,"Offerings in the temple daily,"
ఊళ్లో  లేదు ఐకమత్యం,"But people have no unity,"
ఊళ్లో పెద్దలు ప్రతిసాయంత్రం,"Elders every evening,"
గుళ్లో తీరిక కాలక్షేపం,In the temple while away
వాళ్లకు లేవు పనులు పాటలు,As they spend time gay
వాళ్లకు కావాలి అందరి మాటలు,Into others’ problems interfering.
,
<ul>,
మా ఊళ్లో ఒక గుడి ఉంది,"As temple in our town,"
ఆ గుడి చుట్టూ తోటుంది ,"A garden around the temple,"
ఆ గుళ్లో ఒక బొమ్ముంది – ,"An idol in the temple,"
ఆ బొమ్మకు ప్రాణం పదిమంది.,Its life is the people.
,
<ul>,
ఆ బడి తోట రంగుల పూలు,Colourful blossoms in the garden
బడిలో పిల్లల వేడుకలు,Mirth children make in the school.
ఆ బడిపంతులు బోధనలు,Preaches the teacher
పిల్లల భావికి నిచ్చెనలు,For the pupils’ future
ప్రతిసాయంత్రం ఆటలు పాటలు,Every evening sports gay.
ఉజ్వల భావికి పూల బాటలు,A bright future’s successful way.
,
<ul>,
మా ఊళ్లో ఒక బడి ఉంది,"A school in our town,"
ఆ బడి చుట్టూ తోటుంది,"Around it a garden,"
ఆ బడిలో ఒకరున్నారు – ,"One is there in the school,"
ఆ బడి పిల్లలకు మాష్టారు.,"He, pupils’ teacher in the school."
,
<ul>,
గుళ్లో తీరిక కాలక్షేపం,"People spend time in the temple,"
బళ్లో చదువుల మనోవికాసం,School to uplift the pupils
గుళ్లో రోజూ అర్చనలు,"Services in the temple,"
బళ్లో భావికి నిచ్చెనలు,School providing future to pupils
గుడి కావాలా బడికావాలా?,Temple or school which one do you choose?
ఏం కావాలి మీకు?,Which one you choose?
,
<ul>,
కాలక్షేపం మాకొద్దు,We want time not to waste
ఒడలు మెదడులకు పనిముద్దు,For body and mind work is taste
కాలక్షేపం మాకొద్దు,We want time not to waste.
ఒడలు మెదడులకు పనిముద్దు.,For body and mind work is taste.
,
<ul>,
మా ఊళ్లో ఒక గుడి వుంది,"A temple in our town,"
మా ఊళ్లో ఒక బడి వుంది,"A school in our town,"
మా ఊళ్లో ఒక గుడి వుంది,"A temple in our town,"
మా ఊళ్లో ఒక బడి వుంది.,A school in our town.
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
చుట్టూ,around
తోట,garden
ప్రాణం,life
బడి,school
రోజూ,daily
నైవేద్యం,offering
ఐకమత్యం,unity
ప్రతి,every
తీరిక,leisure
కాలక్షేపం,whiling away the time
పని,work
మాట,word
వేడుక,merth; merriment
పంతులు,teacher
బోధన,teaching
భావి,future
నిచ్చెన,ladder
ఆట,play; game
ఉజ్వల,bright
బాట,path
మనోవికాసం,mental enlightenment
అర్చన,worship
మెదడు,mind
ఒడలు,body
ముద్దు,pretty
