te,en
<h1>,
పాఠ 12:,Lesson 12:
కూరగాయలు ఏం ఉన్నాయి?,What Vegetables are Available?
,
రవి:,Ravi:
ఏమయ్యా!,Hey!
కూరగాయలు ఏం ఉన్నాయి?,What are the vegetables available with you?
,
కొట్టతను:,Shopkeeper:
రండి సార్!,"Please come, sir!"
తాజా కూరగాయలున్నాయి.,Fresh vegetables are available.
,
రవి:,Ravi:
వంకాయలున్నాయా?,Are brinjals available?
,
కొట్టతను:,Shopkeeper:
"వంకాయలూ, బీరకాయలూ, టొమేటోలూ, చిక్కుడుకాయలూ, దోసకాయలూ, కేబేజీ ఉన్నాయండీ!","Brinjal, ridge gourd, tomato, beans, cucumber and cabbage are available, sir."
,
రవి:,Ravi:
ఆకుకూరలు ఏం ఉన్నాయి?,What potherbs are available?
,
కొట్టతను:,Shopkeeper:
"తోటకూరా, పాలకూరా, బచ్చలికూరా, గోంగూరా ఉన్నాయండీ.","Amaranth (tōtākūrā), spinach (pālākūrā), gōngūrā (sour spinach) are available, sir."
గోంగూర తాజాది.,The gōngūrā is fresh.
తీసుకోండి.,Please take it.
,
రవి:,Ravi:
పచ్చిమిరపకాయలు లేవా?,Don't you have green chillies?
,
కొట్టతను:,Shopkeeper:
ఉన్నాయండీ!,"We have them, sir!"
ఇవిగో.,Here they are.
,
రవి:,Ravi:
వంకాయలు ఎంత?,What is the price of brinjal?
,
కొట్టతను:,Shopkeeper:
కిలో పన్నెండు రూపాయలండీ.,"₹12 a kg, sir."
,
రవి:,Ravi:
బీరకాయలు?,Bīrakāy?
,
కొట్టతను:,Shopkeeper:
కిలో పదకొండున్నర.,₹11.5 a kg.
,
రవి:,Ravi:
కేబేజీ ఎంత?,How much does the cabbage cost?
,
కొట్టతను:,Shopkeeper:
కిలో పది రూపాయలు.,₹10 a kg.
,
రవి:,Ravi:
"వంకాయలు ఒక కిలో, బీరకాయలు రెండు కిలోలు ఇవ్వు.",Give me a kilogram of brinjal and two kilograms of bīrakāy.
,
కొట్టతను:,Shopkeeper:
తీసుకోండి.,Please take them.
,
రవి:,Ravi:
ఆ కాయలు వెయ్యకు.,Don't put those ones.
మంచివి వెయ్యి.,Put good ones.
,
కొట్టతను:,Shopkeeper:
ఇవి బాగున్నాయండి.,"These are good, sir."
,
రవి:,Ravi:
కేబీజీ కూడా ఒక కిలో ఇవ్వు.,Give a kg of cabbage too.
,
కొట్టతను:,Shopkeeper:
కేబీజీ ఒకటిన్నర కిలో ఉందండీ!,"This cabbage is weighing one and a half kg, sir!"
,
రవి:,Ravi:
"సరే, ఇవ్వు.","Okay, give it."
పచ్చిమిరపకాయలు పావుకిలో ఇవ్వు.,Give me a quarter kg of green chillies.
అల్లం కూడా యాభై గ్రాములు ఇవ్వు.,Add 50 grams of ginger too.
,
కొట్టతను:,Shopkeeper:
మొత్తం యాభైతొమ్మిది రూపాయలు సార్.,"It is, in total, ₹59, sir!"
,
రవి:,Ravi:
"ఇదిగో, తీసుకో.",Take it.
ఇప్పుడు సిటీ బస్సు ఉందా?,Is there any city bus now?
,
కొట్టతను:,Shopkeeper:
లేదు సార్.,"No, sir!"
ఇప్పుడు టైం ఎంత సార్?,"What is the time now, sir?"
,
రవి:,Ravi:
ఏడు ముప్పావు.,Seven and three quarters.
,
***,
,
సుగుణ:,Suguna:
పద్మా!,Padma!
బాగున్నావా?,How do you do?
,
పద్మ:,Padma:
ఆ!,Fine.
మీరందరూ బాగున్నారా?,How are you?
"రా, కూర్చో.","Come on, sit."
,
సుగుణ:,Suguna:
మీ స్నేహితురాలి ఇల్లెక్కడ?,Where is your friend's house?
,
పద్మ:,Padma:
ఎవరిల్లు?,Whose house?
,
సుగుణ:,Suguna:
విజయ ఇల్లు.,Vijaya's house.
,
పద్మ:,Padma:
సరోజ ఇంటి దగ్గర.,It is near Saroja's house.
వాళ్ళ ఇళ్ళు మన స్కూలు దగ్గరే!,Their houses are near our school.
,
సుగుణ:,Suguna:
సరోజ ఇల్లు మన స్కూలు దగ్గరేనా?,Is Saroja's house near our school?
,
పద్మ:,Padma:
అవును.,Yes.
ఈ పుస్తకాలు ఎవరివి?,Whose books are these?
నీవేనా?,Yours?
,
సుగుణ:,Suguna:
నావికావు.,Not mine.
కొన్ని మా తమ్ముడివి.,Some of them are my younger brother's.
కొన్ని వాడి స్నేహితుడివి.,Some of them are his friend's.
,
పద్మ:,Padma:
వాళ్ళ స్కూళ్ళు ఎక్కడ?,Where are their schools?
,
సుగుణ:,Suguna:
వాళ్ళిద్దరి స్కూలూ ఒక్కటే.,They are from the same school.
,
<h2>,
కొత్త పదాలు,New words
,
<ol>,
కూరగాయలు,vegetables
తాజా,fresh
బీరకాయ,sharp angled cucumber / ridge gourd / chinese okra
చిక్కుడుకాయ,the pod of bean plant
ఆకుకూర,potherb / green leafy vegetables
తోటకూర,Amaranth Leaves (a certain potherb)
బచ్చలకూర,Malabar spinach (a certian potherb)
పచ్చిమిరపకాయ,green chilly
అల్లం,ginger
సిటీ బస్సు,city-bus
కొట్టతను,shopkeeper
వంకాయ,eggplant / brinjal
టొమేటో,tomato
కేబేజీ,cabbage
కాయ,green unripe fruit
పాలకూర,spinach
గోంగూర,red sorrel leaves / sour spinach
కిలో,kilogram
గ్రాము,gram
