te,en,hi
<h1>,,
పాఠం 2:,Lesson 2:,पाठ 2:
నమస్కారమండీ!,"Hello, sir!",नमस्कार जी
,,
గిరి:,Giri:,गिरी:
నమస్కారమండీ!,"Hello, sir!",नमस्कार जी।
,,
రావు:,Rao:,रावु:
నమస్కారం.,Hello!,नमस्कार।
మీరు ఎవరు?,Who are you?,आप कौन हैं?
,,
గిరి:,Giri:,गिरी:
నేను కన్నడ విద్యార్థిని.,I am a Kannada student.,मैं कन्नडा का विद्यार्थी हूँ।
,,
ఇతను తెలుగు విద్యార్థి.,He is a Telugu student.,यह तॆलुगु का विद्यार्थी है।
,,
అతను తమిళ విద్యార్థి.,He is a Tamil Student.,वह तमिऴ् का विद्यार्थी है।
,,
ఆమె తెలుగు విద్యార్థిని.,She is a Telugu student.,वह तॆलुगु की विद्यार्थी है।
,,
ఈమె మలయాళ విద్యార్థిని.,She is a Malayalam student.,यह मलयाळम् की विद्यार्थी है।
,,
రావు:,Rao:,रावु:
నా పేరు రామారావు.,My name is Ramarao.,मेरा नाम रामारावु है।
,,
ఈయన పేరు శర్మగారు.,His name is Mr. Sharma.,इनका नाम शर्मा जी है।
,,
అయన పేరు రాజారామ్.,His name is Rajaram.,उनका नाम राजाराम है।
,,
గౌరి:,Gowri:,गौरी:
నమస్కారమండీ!,"Hello, sir!",नमस्कार जी!
నా పేరు గౌరి.,My name is Gowri.,मेरा नाम गौरी है।
,,
నేను హిందీ విద్యార్థినిని.,I am a Hindi student.,मैं हिंदी की विद्यार्थी हूँ।
,,
ఈమె పేరు సరళ.,Her name is Sarala.,इसका नाम सरला है।
ఆమె పేరు గిరిజ.,Her name is Girija.,उसका नाम गिरिजा है।
,,
రావు:,Rao:,रावु:
ఎవరి పేరు గిరిజ?,Whose name is Girija?,किसका नाम गिरिजा है?
,,
గిరిజ:,Girija:,गिरिजा:
నా పేరండీ!,"My name, sir!",मेरा नाम जी।
,,
రావు:,Rao:,रावु:
మీ పేరేమిటండీ?,"What is your name, sir?",आपका नाम क्या है जी?
,,
గిరి:,Giri:,गिरी:
నా పేరు గిరి.,My name is Giri.,मेरा नाम गिरी है।
ఇతని పేరు రవి.,His name is Ravi.,इसका नाम रवि है।
అతని పేరు శంకర్.,His name is Sankar.,उसका नाम शंकर है।
,,
రావు:,Rao:,रावु:
ఎవరి పేరు రవి?,Whose name is Ravi?,किसका नाम रवि है?
,,
గిరి:,Giri:,गिरी:
ఇతని పేరండీ!,"His name, sir!",इसका नाम जी।
,,
గౌరి:,Gowri:,गौरी:
మీరెవరండీ?,"Who/what are you, sir?",आप कौन हैं जी?
,,
రావు:,Rao:,रावु:
"ఏమండీ, రాజారామ్ గారు!","Hello, Mr. Rajaram!",राजाराम जी!
చెప్పండి.,Please tell.,बताइए।
నేనెవరిని?,Who am I?,मैं कौन हूँ?
,,
<h2>,,
కొత్త పదాలు,New words,नए शब्द
,,
<ol>,,
నమస్కారం,an expression of obeisance or salutation,नमस्कार
ఈయన,his (pos.) (prox. hon.),"इनका (पुरुष, एक वचन / singular)"
అండీ,"an epicene/honorific, address marker",जी
ఆయన,his (pos.) (rem.hon.),"उनका (पुरुष, एक वचन / singular)"
మీరు,you (hon.sg. and pl.pro.),आप
హిందీ,Hindi,हिंदी
నేను,I,मैं
ఈమె,her (pos.)(prox.hon. & eql.),यह (महिला)
కన్నడ,Kannada (adj.),कन्नडा
ఆమె,her (pos.)(rem. hon. & eql.),वह (महिला)
ఇతను,"he, this man/boy (prox. eql.)",यह (पुरुष)
ఎవరి,whose,किसका
తెలుగు,Telugu,तॆलुगु
మీ,your (hon.sg. and pl.),आप का
అతను,"he, that man/boy (rem.eql.)",वह (पुरुष)
ఇతని,his (pos.) (prox. eql.),इसका (पुरुष)
తమిళ,Tamil (adj.),तमिऴ्
అతని,his (pos.) (rem.eql.),उसका (पुरुष)
మలయాళ,Malayalam (adj),मलयाळम्
ఏమండీ,"Hello, sir (polite addressing)",
పేరు,name (n.),नाम
కాఫీ,coffee,
ఏమయ్యా!,hey! (eql masc. addressing),
అటెండరు,attender,
చెప్పు,tell/say,बताओ
నీ,your (pos.) (non-hon. sg.),तुम्हारा
నువ్వు,(non.hon. sg. pro.) you,तुम
కూడా,also,भी
